1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-1.146045	-1.207650	0.000123	0.000000	2288.447149	0.002526	0.000006	0.003804	3.6	2.1	321.3
1	-1.142041	-1.208015	0.000132	0.000000	2288.447149	0.002820	0.000007	0.004250	3.9	3.2	8.1
2	-1.175133	-1.237400	0.000125	0.998731	2184.552877	0.001007	0.000006	0.003234	4.9	5.2	11.5
3	-1.157840	-1.219389	0.000123	1.998492	2089.588744	0.003055	0.000006	0.004254	6.0	2.9	10.2
4	-1.155290	-1.221826	0.000133	1.520230	2133.965341	0.002658	0.000007	0.004252	5.0	3.2	9.4
5	-1.150552	-1.214243	0.000127	2.520230	2043.236422	0.001133	0.000007	0.003345	4.3	3.2	8.7
6	-1.174559	-1.239955	0.000131	3.509229	1960.787487	0.002118	0.000007	0.004042	3.5	2.4	6.8
7	-1.138976	-1.200923	0.000124	4.328495	1897.364588	0.000906	0.000006	0.003253	3.4	2.4	6.7
8	-1.154121	-1.217156	0.000126	4.948339	1852.041123	0.001826	0.000007	0.003611	3.3	2.2	6.4
9	-1.170893	-1.231869	0.000122	5.843322	1790.292230	0.001977	0.000006	0.003610	3.5	2.7	7.1
10	-1.189682	-1.250227	0.000121	6.725713	1733.314837	0.002743	0.000006	0.004130	3.3	2.4	6.5
11	-1.146104	-1.208978	0.000126	7.673213	1676.037848	0.003343	0.000006	0.004577	3.3	2.5	6.7
12	-1.185201	-1.247038	0.000124	8.420509	1633.465622	0.000983	0.000006	0.003189	3.3	2.3	6.8
13	-1.147279	-1.212462	0.000130	9.021003	1600.792271	0.002672	0.000007	0.004009	3.4	2.4	6.6
14	-1.146899	-1.211034	0.000128	9.716543	1564.544243	0.001351	0.000007	0.003541	3.7	2.1	6.6
15	-1.158468	-1.224374	0.000132	10.699126	1516.047784	0.001296	0.000007	0.003515	3.2	2.3	6.3
16	-1.150957	-1.213677	0.000125	10.827151	1509.949486	0.001007	0.000007	0.003334	3.3	2.7	7.2
17	-1.169650	-1.231792	0.000124	11.550759	1476.383073	0.003555	0.000006	0.004616	3.1	2.3	6.3
18	-1.137731	-1.199721	0.000124	12.212763	1446.955505	0.001125	0.000006	0.003238	3.2	2.2	6.3
19	-1.145749	-1.209081	0.000127	13.192845	1405.480871	0.001075	0.000007	0.003295	4.0	2.3	7.1
20	-1.152252	-1.213827	0.000123	13.700495	1384.919448	0.001241	0.000006	0.003356	3.1	2.3	6.2
21	-1.143856	-1.204335	0.000121	14.515551	1353.136554	0.000954	0.000006	0.003119	3.3	2.7	7.1
22	-1.125497	-1.188082	0.000125	15.022695	1334.086470	0.000918	0.000006	0.003173	3.6	2.5	6.9
23	-1.148271	-1.206854	0.000117	15.750305	1307.673221	0.001195	0.000006	0.003200	3.3	2.3	6.5
24	-1.163181	-1.223465	0.000121	16.467318	1282.648241	0.000927	0.000006	0.003226	3.6	2.4	6.8
25	-1.136017	-1.196779	0.000122	16.511785	1281.127780	0.001360	0.000006	0.003284	3.3	2.4	6.5
26	-1.161919	-1.225047	0.000126	17.215863	1257.524664	0.002380	0.000006	0.003872	3.3	2.9	7.0
27	-1.181091	-1.240873	0.000120	17.422356	1250.766363	0.001152	0.000006	0.003192	3.2	2.4	6.5
28	-1.166757	-1.226361	0.000119	18.199815	1225.959614	0.001692	0.000006	0.003366	3.3	2.5	6.7
29	-1.184836	-1.244503	0.000119	19.009291	1201.155747	0.001049	0.000006	0.003158	3.3	2.3	6.6
30	-1.150924	-1.211575	0.000121	19.918972	1174.452533	0.001119	0.000006	0.003201	3.3	2.4	6.5
31	-1.180546	-1.242948	0.000125	20.452733	1159.329829	0.001631	0.000007	0.003471	3.7	2.7	7.3
32	-1.136518	-1.198782	0.000125	21.273766	1136.813554	0.001363	0.000006	0.003406	3.4	2.5	6.7
33	-1.179544	-1.239059	0.000119	21.617911	1127.633631	0.001793	0.000006	0.003622	3.4	2.9	7.6
34	-1.186335	-1.245658	0.000119	21.863499	1121.172830	0.001331	0.000006	0.003201	3.3	2.3	6.4
35	-1.154937	-1.212465	0.000115	22.861470	1095.662998	0.004389	0.000006	0.005229	3.4	2.5	6.7
36	-1.151302	-1.212157	0.000122	23.682661	1075.526599	0.001624	0.000006	0.003465	3.6	2.5	7.0
37	-1.148588	-1.209849	0.000123	24.679297	1052.060624	0.001017	0.000006	0.003200	3.0	2.1	5.9
38	-1.166853	-1.225816	0.000118	24.806063	1049.149105	0.002145	0.000006	0.003645	3.4	3.2	7.4
39	-1.132601	-1.193923	0.000123	24.773528	1049.894815	0.000967	0.000006	0.003182	3.2	2.3	6.3
40	-1.159309	-1.220165	0.000122	25.532131	1032.778611	0.002509	0.000006	0.003944	3.2	2.3	6.4
41	-1.141976	-1.202739	0.000122	25.546167	1032.467194	0.000916	0.000006	0.003190	3.5	2.4	6.9
42	-1.154579	-1.213107	0.000117	26.238713	1017.330650	0.002511	0.000006	0.003961	3.3	2.4	6.5
43	-1.155627	-1.214872	0.000118	26.556581	1010.530799	0.002973	0.000006	0.004164	3.5	2.7	7.2
44	-1.156522	-1.215107	0.000117	27.342123	994.110050	0.001820	0.000006	0.003434	3.5	2.4	6.9
45	-1.157190	-1.216076	0.000118	27.841263	983.950607	0.000898	0.000006	0.003090	3.3	2.9	7.2
46	-1.156996	-1.216839	0.000120	27.874086	983.289805	0.001934	0.000006	0.003485	3.3	2.3	6.6
47	-1.126425	-1.183762	0.000115	28.416903	972.488917	0.001349	0.000006	0.003234	3.2	2.2	6.3
48	-1.177606	-1.236884	0.000119	28.950117	962.107658	0.001237	0.000006	0.003241	4.0	2.2	7.0
49	-1.145301	-1.204112	0.000118	29.647296	948.863894	0.001133	0.000006	0.003231	3.2	2.4	6.5
50	-1.144627	-1.202992	0.000117	30.335565	936.142224	0.000904	0.000006	0.003059	3.2	2.9	7.0
51	-1.151927	-1.211575	0.000119	30.784800	928.021153	0.002130	0.000006	0.003629	3.7	2.8	7.4
52	-1.157338	-1.217640	0.000121	31.021136	923.805086	0.001983	0.000006	0.003617	3.3	2.3	6.5
53	-1.159442	-1.219530	0.000120	31.954374	907.524466	0.002428	0.000006	0.003749	3.5	2.4	6.9
54	-1.134860	-1.193902	0.000118	32.868998	892.115909	0.002616	0.000006	0.003975	3.3	2.5	6.5
55	-1.168790	-1.226198	0.000115	32.302606	901.595503	0.001014	0.000006	0.003118	3.6	2.6	7.0
56	-1.150167	-1.209028	0.000118	32.973238	890.392937	0.001183	0.000006	0.003184	3.2	2.3	6.4
57	-1.154070	-1.213692	0.000119	33.055432	889.039054	0.001391	0.000006	0.003310	3.3	2.4	6.6
58	-1.138420	-1.197429	0.000118	33.095401	888.382185	0.002145	0.000006	0.003569	3.0	2.4	6.4
59	-1.146497	-1.205855	0.000119	33.830165	876.477215	0.000921	0.000006	0.003128	3.6	2.3	6.8
60	-1.169141	-1.226555	0.000115	34.310070	868.872341	0.000857	0.000006	0.003056	3.7	2.5	7.0
61	-1.147099	-1.205152	0.000116	34.946949	858.981434	0.001408	0.000006	0.003205	3.3	2.4	6.5
62	-1.199964	-1.257647	0.000115	35.413916	851.871191	0.003098	0.000006	0.004124	3.1	2.7	6.7
63	-1.172372	-1.231605	0.000118	34.801118	861.226288	0.000928	0.000006	0.003085	3.3	2.3	6.7
64	-1.160013	-1.218783	0.000118	34.873018	860.118035	0.000988	0.000006	0.003102	3.3	2.3	6.4
65	-1.159059	-1.217106	0.000116	35.471358	851.004683	0.001240	0.000006	0.003128	3.7	2.4	6.9
66	-1.158648	-1.215978	0.000115	36.084367	841.866044	0.004776	0.000006	0.005602	3.3	2.4	6.5
67	-1.167729	-1.228015	0.000121	36.375817	837.589647	0.002138	0.000006	0.003695	3.3	2.9	7.0
68	-1.182533	-1.242131	0.000119	37.351528	823.584086	0.001695	0.000006	0.003503	3.5	2.5	6.9
69	-1.159401	-1.217843	0.000117	36.922049	829.690776	0.000901	0.000006	0.003040	3.5	2.5	6.9
70	-1.172766	-1.231097	0.000117	36.935213	829.502260	0.002584	0.000006	0.003828	3.3	2.4	6.6
71	-1.166484	-1.224335	0.000116	36.673869	833.261072	0.002021	0.000006	0.003497	3.2	2.2	6.2
