1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
153	-1.130915	-1.179587	0.000097	1.748878	9286.237080	0.001169	0.000001	0.001064	1.6	0.8	2.9
154	-1.136080	-1.184621	0.000097	1.123357	9548.798502	0.001168	0.000001	0.001111	1.6	0.8	2.9
155	-1.148162	-1.195616	0.000095	2.123357	9135.848143	0.001451	0.000001	0.001386	1.6	0.8	2.8
156	-1.141085	-1.190516	0.000099	3.123357	8757.134343	0.001388	0.000001	0.001344	1.7	0.8	2.9
157	-1.154784	-1.204185	0.000099	4.123357	8408.568886	0.001059	0.000001	0.000972	2.0	1.0	3.5
158	-1.148522	-1.195888	0.000095	3.497835	8623.271112	0.001219	0.000001	0.001137	1.7	0.8	2.9
159	-1.151038	-1.200677	0.000099	2.872314	8849.224936	0.001164	0.000001	0.001077	1.6	0.8	2.8
160	-1.135730	-1.185216	0.000099	3.872314	8493.438782	0.001493	0.000001	0.001431	1.6	0.8	2.8
161	-1.160535	-1.208949	0.000097	4.872147	8165.208711	0.001234	0.000001	0.001158	1.6	0.8	2.8
162	-1.154667	-1.201696	0.000094	4.246625	8367.513484	0.001785	0.000001	0.001751	1.7	0.8	2.9
163	-1.172091	-1.222013	0.000100	5.246625	8048.710079	0.000873	0.000001	0.000782	1.8	0.8	3.1
164	-1.135585	-1.183748	0.000096	6.246625	7753.307987	0.001066	0.000001	0.000967	1.6	0.8	2.9
165	-1.152150	-1.200732	0.000097	5.621104	7935.489016	0.000900	0.000001	0.000812	1.6	0.8	2.8
166	-1.167307	-1.217437	0.000100	4.995582	8126.437544	0.001079	0.000001	0.000982	1.7	0.8	2.9
167	-1.169473	-1.219332	0.000100	4.952031	8140.075019	0.001256	0.000001	0.001196	1.6	0.8	2.8
168	-1.176062	-1.224940	0.000098	4.326538	8341.111471	0.000986	0.000001	0.000893	2.3	1.0	3.8
169	-1.153153	-1.204425	0.000103	5.326538	8024.278644	0.001477	0.000001	0.001392	1.6	0.8	2.9
170	-1.143775	-1.191997	0.000096	6.326538	7730.634471	0.001394	0.000001	0.001344	1.7	0.8	2.9
171	-1.138248	-1.187397	0.000098	7.326538	7457.723095	0.000980	0.000001	0.000874	1.6	0.8	2.8
172	-1.143887	-1.193788	0.000100	8.326538	7203.423624	0.001024	0.000001	0.000942	1.6	0.8	2.8
173	-1.170992	-1.222072	0.000102	9.326538	6965.894908	0.000895	0.000001	0.000777	1.7	1.1	3.2
174	-1.159193	-1.211851	0.000105	10.326533	6743.531980	0.001135	0.000001	0.001033	1.7	0.8	2.9
175	-1.147799	-1.201193	0.000107	9.701012	6880.928873	0.001146	0.000001	0.001064	1.7	0.8	3.0
176	-1.188154	-1.238442	0.000101	9.075490	7024.041030	0.001096	0.000001	0.001002	1.6	0.8	2.9
177	-1.174388	-1.227613	0.000106	10.075490	6798.009485	0.001411	0.000001	0.001326	1.6	0.8	2.8
178	-1.174879	-1.224353	0.000099	9.456939	6936.070417	0.001894	0.000001	0.001827	1.6	0.8	2.8
179	-1.155497	-1.206801	0.000103	10.418685	6723.752897	0.001419	0.000001	0.001379	2.1	0.8	3.4
180	-1.169577	-1.221008	0.000103	11.418685	6516.349271	0.000858	0.000001	0.000743	1.6	0.8	2.9
181	-1.137886	-1.190106	0.000104	12.418685	6321.358079	0.000794	0.000001	0.000667	1.7	0.8	2.9
182	-1.159695	-1.212492	0.000106	11.793179	6441.933515	0.001404	0.000001	0.001338	1.6	0.8	2.8
183	-1.167836	-1.220046	0.000104	11.167657	6567.201179	0.001136	0.000001	0.001082	1.6	0.8	2.8
184	-1.158048	-1.209244	0.000102	12.167656	6369.201201	0.000964	0.000001	0.000866	1.9	0.9	3.3
185	-1.165379	-1.218247	0.000106	11.542135	6491.629298	0.001318	0.000001	0.001216	1.7	0.8	2.9
186	-1.193350	-1.244027	0.000101	10.963127	6609.224303	0.001233	0.000001	0.001163	1.6	0.8	2.8
187	-1.149664	-1.200993	0.000103	11.963127	6408.720744	0.001420	0.000001	0.001340	1.6	0.8	2.8
188	-1.158202	-1.211183	0.000106	11.337606	6532.687620	0.001248	0.000001	0.001164	1.6	0.8	2.9
189	-1.164781	-1.217618	0.000106	12.337606	6336.732108	0.001359	0.000001	0.001299	1.6	0.8	2.8
190	-1.162322	-1.213611	0.000103	11.712084	6457.903278	0.001019	0.000001	0.000949	1.9	0.8	3.2
191	-1.167557	-1.220331	0.000106	12.712084	6266.342792	0.001158	0.000001	0.001076	1.6	0.8	2.9
192	-1.164930	-1.216642	0.000103	12.086563	6384.811777	0.001145	0.000001	0.001078	1.6	0.8	2.9
193	-1.165843	-1.220012	0.000108	13.040909	6205.811934	0.000870	0.000001	0.000744	1.6	0.8	2.8
194	-1.155573	-1.209869	0.000109	14.040909	6028.710021	0.001256	0.000001	0.001176	1.6	0.8	2.9
195	-1.170037	-1.226633	0.000113	13.415387	6138.285634	0.001436	0.000001	0.001376	1.8	1.0	3.3
196	-1.170456	-1.222469	0.000104	14.415387	5964.963072	0.001244	0.000001	0.001169	1.7	0.8	3.0
197	-1.134272	-1.187941	0.000107	15.415387	5801.159704	0.001740	0.000001	0.001706	1.7	0.8	2.9
198	-1.190895	-1.244253	0.000107	16.415387	5646.112271	0.001141	0.000001	0.001088	1.6	0.9	2.9
199	-1.165469	-1.219291	0.000108	17.415387	5499.136992	0.001300	0.000001	0.001229	1.7	0.8	2.9
