1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.952497	1.000000	0.002443	2.9
1	-0.954787	1.000000	0.002154	1.1
2	-0.956812	1.000000	0.001872	1.1
3	-0.958565	1.000000	0.001626	1.1
4	-0.960071	1.000000	0.001398	1.1
5	-0.961345	1.000000	0.001169	1.0
6	-0.962383	1.000000	0.000930	1.4
7	-0.963199	1.000000	0.000728	1.1
8	-0.963845	1.000000	0.000592	1.1
9	-0.964389	1.000000	0.000505	1.0
10	-0.964861	1.000000	0.000446	1.0
11	-0.965280	1.000000	0.000413	1.0
12	-0.965664	1.000000	0.000387	1.0
13	-0.966032	1.000000	0.000358	1.0
14	-0.966374	1.000000	0.000334	1.0
15	-0.966690	1.000000	0.000314	1.0
16	-0.966996	1.000000	0.000295	1.1
17	-0.967282	1.000000	0.000274	1.0
18	-0.967546	1.000000	0.000259	1.0
19	-0.967792	1.000000	0.000248	1.0
20	-0.968015	1.000000	0.000241	1.0
21	-0.968208	1.000000	0.000249	1.1
22	-0.968366	1.000000	0.000267	1.1
23	-0.968496	0.500000	0.000295	1.0
24	-0.968600	0.500000	0.000194	1.0
25	-0.968690	0.500000	0.000197	1.0
26	-0.968773	0.500000	0.000194	1.0
27	-0.968858	0.500000	0.000188	1.2
28	-0.968940	0.500000	0.000185	0.9
29	-0.969032	0.500000	0.000181	1.0
30	-0.969118	0.500000	0.000182	1.0
31	-0.969202	0.500000	0.000184	1.0
32	-0.969280	0.500000	0.000188	1.1
33	-0.969354	0.500000	0.000194	1.1
34	-0.969428	0.500000	0.000186	1.0
35	-0.969504	0.500000	0.000192	1.0
36	-0.969579	0.500000	0.000184	1.2
37	-0.969648	0.500000	0.000174	1.1
38	-0.969722	0.500000	0.000181	1.0
39	-0.969788	0.500000	0.000186	1.0
40	-0.969844	0.500000	0.000208	1.0
41	-0.969883	0.250000	0.000211	1.0
42	-0.969926	0.250000	0.000158	1.1
43	-0.969956	0.250000	0.000169	0.9
44	-0.969982	0.250000	0.000164	1.0
45	-0.970011	0.250000	0.000157	1.1
46	-0.970041	0.250000	0.000162	1.0
47	-0.970065	0.250000	0.000158	1.0
48	-0.970096	0.250000	0.000143	1.0
49	-0.970125	0.250000	0.000145	1.0
50	-0.970154	0.250000	0.000145	1.0
51	-0.970182	0.250000	0.000152	1.2
52	-0.970208	0.250000	0.000147	1.1
53	-0.970237	0.250000	0.000143	1.1
54	-0.970266	0.250000	0.000148	1.0
55	-0.970293	0.250000	0.000146	1.1
56	-0.970321	0.250000	0.000145	1.0
57	-0.970354	0.250000	0.000142	1.0
58	-0.970383	0.250000	0.000140	1.0
59	-0.970411	0.250000	0.000155	1.0
60	-0.970435	0.250000	0.000142	1.1
61	-0.970465	0.250000	0.000139	1.0
62	-0.970491	0.250000	0.000142	1.1
63	-0.970517	0.250000	0.000142	1.1
64	-0.970541	0.250000	0.000144	1.0
65	-0.970567	0.250000	0.000144	1.0
66	-0.970590	0.250000	0.000143	1.2
67	-0.970616	0.250000	0.000133	1.0
68	-0.970642	0.250000	0.000139	1.1
69	-0.970666	0.250000	0.000143	1.0
70	-0.970689	0.250000	0.000156	1.1
71	-0.970709	0.250000	0.000167	0.9
72	-0.970728	0.250000	0.000154	1.1
73	-0.970750	0.250000	0.000144	0.9
74	-0.970772	0.250000	0.000138	1.0
75	-0.970795	0.250000	0.000163	1.0
76	-0.970811	0.250000	0.000153	1.0
77	-0.970836	0.250000	0.000138	1.1
78	-0.970856	0.250000	0.000139	1.0
79	-0.970880	0.250000	0.000166	1.1
80	-0.970893	0.125000	0.000155	1.1
