1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.298459	0.000000	435.120204	0.004471	1381.4
1	-0.246221	0.018767	434.731691	0.005452	3.1
2	-0.162706	0.037535	434.343871	0.003572	3.5
3	-0.182907	0.056302	433.956742	0.003592	3.4
4	-0.299987	0.075070	433.570303	0.004075	3.0
5	-0.197085	0.093837	433.184551	0.004663	3.1
6	-0.169253	0.112604	432.799486	0.003766	3.2
7	-0.098462	0.131372	432.415104	0.002332	3.2
8	-0.311170	0.150139	432.031404	0.005509	3.4
9	-0.285669	0.168906	431.648385	0.004625	3.3
10	-0.168513	0.187674	431.266044	0.003579	3.2
11	-0.267910	0.206441	430.884380	0.004550	3.2
12	-0.206369	0.225209	430.503391	0.004805	3.6
13	-0.078309	0.243976	430.123075	0.003195	3.8
14	-0.293727	0.262743	429.743431	0.004993	3.1
15	-0.176226	0.281511	429.364456	0.003029	2.9
16	-0.225430	0.300278	428.986149	0.002951	3.2
17	-0.210736	0.319045	428.608508	0.003920	3.2
18	-0.168544	0.337813	428.231531	0.005559	3.2
19	-0.264322	0.356580	427.855217	0.005395	2.9
20	-0.332164	0.375348	427.479563	0.004492	3.1
21	-0.075812	0.394115	427.104569	0.002210	3.3
22	-0.125505	0.412882	426.730232	0.005020	3.8
23	-0.066590	0.431650	426.356551	0.002664	3.6
24	-0.162794	0.450417	425.983523	0.004166	3.4
25	-0.374650	0.469185	425.611148	0.004576	3.7
26	-0.380555	0.487952	425.239423	0.005476	3.8
27	-0.157616	0.506719	424.868347	0.003993	4.1
28	-0.087926	0.525487	424.497917	0.004059	3.9
29	-0.163509	0.544254	424.128134	0.002760	3.7
30	-0.202595	0.563021	423.758994	0.003298	4.3
31	-0.199545	0.581789	423.390496	0.004639	4.3
32	-0.279901	0.600556	423.022638	0.003512	4.7
33	-0.155007	0.619324	422.655419	0.004292	4.2
34	-0.179399	0.638091	422.288837	0.004750	4.0
35	-0.247971	0.656858	421.922890	0.004154	3.8
36	-0.102306	0.675626	421.557577	0.003709	3.9
37	-0.218815	0.694393	421.192896	0.004163	3.9
38	-0.323292	0.713161	420.828846	0.003906	4.4
39	-0.092118	0.731928	420.465424	0.003464	4.6
40	-0.194844	0.750695	420.102629	0.003791	4.2
41	-0.197716	0.769463	419.740460	0.003841	4.1
42	-0.299840	0.788230	419.378915	0.004815	4.3
43	-0.304424	0.806997	419.017992	0.004027	4.5
