1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.033177	0.000000	473.041707	0.000938	1615.8
1	-0.100504	0.209516	468.368822	0.005249	4.5
2	-0.259309	0.419031	463.787355	0.003794	3.6
3	-0.279774	0.628547	459.294650	0.005262	3.5
4	-0.045844	0.838062	454.888151	0.002951	4.3
5	-0.269745	1.047578	450.565401	0.002646	4.0
6	-0.149101	1.257094	446.324035	0.002881	3.5
7	-0.180091	1.466609	442.161776	0.002850	3.5
8	-0.281512	1.676125	438.076431	0.007737	4.5
9	-0.241520	1.885640	434.065888	0.001421	4.2
10	-0.074218	2.095156	430.128111	0.001907	3.5
11	-0.161717	2.304672	426.261137	0.001857	3.6
12	-0.160087	2.514187	422.463074	0.002288	4.1
13	-0.112789	2.723703	418.732097	0.003795	4.6
14	-0.295427	2.933218	415.066442	0.002812	3.9
15	-0.223400	3.142734	411.464410	0.003419	3.6
16	-0.161410	3.352250	407.924359	0.003454	4.5
17	-0.219870	3.561765	404.444702	0.003438	4.3
18	-0.190853	3.771281	401.023907	0.004104	3.4
19	-0.316338	3.980796	397.660493	0.005986	3.5
20	-0.249412	4.190312	394.353028	0.007455	4.5
21	-0.042541	4.399828	391.100127	0.000639	4.0
22	-0.284108	4.609343	387.900452	0.003000	3.4
23	-0.352668	4.818859	384.752707	0.003399	3.4
24	-0.152173	5.028374	381.655637	0.001185	4.4
25	-0.070796	5.237890	378.608028	0.001270	4.0
26	-0.073010	5.447406	375.608706	0.002175	3.4
27	-0.193682	5.656921	372.656532	0.003455	3.4
28	-0.036112	5.866437	369.750402	0.001180	3.6
29	-0.208174	6.075953	366.889247	0.003272	4.3
30	-0.098598	6.285468	364.072033	0.000741	4.4
31	-0.228541	6.494984	361.297753	0.003375	3.4
32	-0.228191	6.704499	358.565434	0.003887	3.5
33	-0.037152	6.914015	355.874132	0.000570	4.3
34	-0.135403	7.123531	353.222929	0.005460	4.1
35	-0.051320	7.333046	350.610936	0.001575	3.5
36	-0.143221	7.542562	348.037290	0.002990	3.4
37	-0.141157	7.752077	345.501152	0.002608	4.4
38	-0.077997	7.961593	343.001708	0.002065	4.3
39	-0.068361	8.171109	340.538167	0.001616	3.3
40	-0.156238	8.380624	338.109762	0.003526	3.9
41	-0.172997	8.590140	335.715746	0.003761	4.3
42	-0.258520	8.799655	333.355393	0.004614	5.0
43	-0.142217	9.009171	331.028000	0.002175	4.6
44	-0.105050	9.218687	328.732879	0.001563	4.3
45	-0.143032	9.428202	326.469365	0.004775	4.6
46	-0.096348	9.637718	324.236809	0.001874	4.3
47	-0.060800	9.847233	322.034580	0.002241	4.0
48	-0.075107	10.056749	319.862064	0.001803	4.7
49	-0.211647	10.266265	317.718665	0.004385	4.5
50	-0.225506	10.475780	315.603800	0.008504	4.1
51	-0.060533	10.685296	313.516904	0.001433	3.6
52	-0.247201	10.894811	311.457425	0.004434	4.5
53	-0.375754	11.104327	309.424827	0.004160	4.7
