1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.241179	0.000000	150.345697	0.003191	749.0
1	-0.339337	0.078432	149.786266	0.007241	3.2
2	-0.367646	0.156864	149.230983	0.008906	3.2
3	-0.325999	0.235296	148.679801	0.005285	3.6
4	-0.258195	0.313729	148.132676	0.004355	3.4
5	-0.225327	0.392161	147.589563	0.004045	3.4
6	-0.390142	0.470593	147.050418	0.008386	3.4
7	-0.503041	0.549025	146.515198	0.008497	3.3
8	-0.530655	0.627457	145.983859	0.006694	3.6
9	-0.320472	0.705889	145.456361	0.005757	3.0
10	-0.217538	0.784321	144.932661	0.005642	3.0
11	-0.306995	0.862753	144.412718	0.004715	3.2
12	-0.379751	0.941186	143.896493	0.006101	3.5
13	-0.513484	1.019618	143.383945	0.007147	3.7
14	-0.449389	1.098050	142.875035	0.007653	3.2
15	-0.238086	1.176482	142.369726	0.004625	3.1
16	-0.330403	1.254914	141.867978	0.005841	3.1
17	-0.308509	1.333346	141.369754	0.012024	3.2
18	-0.508100	1.411778	140.875017	0.008833	3.4
19	-0.129667	1.490210	140.383731	0.002936	3.4
20	-0.578742	1.568643	139.895859	0.002514	3.0
21	-0.223016	1.647075	139.411367	0.002922	3.3
22	-0.366612	1.725507	138.930219	0.007110	3.5
23	-0.470886	1.803939	138.452381	0.007842	3.7
24	-0.361119	1.882371	137.977819	0.005354	4.0
25	-0.358862	1.960803	137.506498	0.006501	3.2
26	-0.286935	2.039235	137.038387	0.006272	3.3
27	-0.305220	2.117667	136.573452	0.006120	3.5
28	-0.265958	2.196100	136.111661	0.006630	3.1
29	-0.423150	2.274532	135.652983	0.006165	3.0
30	-0.274080	2.352964	135.197385	0.002789	3.0
31	-0.333376	2.431396	134.744838	0.013301	3.0
32	-0.385126	2.509828	134.295310	0.004729	3.4
33	-0.230494	2.588260	133.848771	0.007464	3.2
34	-0.321205	2.666692	133.405192	0.007520	3.0
35	-0.347262	2.745124	132.964544	0.004751	3.0
36	-0.370800	2.823557	132.526797	0.006207	2.9
37	-0.183867	2.901989	132.091923	0.003106	3.1
38	-0.296888	2.980421	131.659893	0.003082	3.5
39	-0.524510	3.058853	131.230680	0.006290	3.1
