1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.124421	5.030905	180.352376	0.006415	2.1
117	-0.299554	5.074275	180.052392	0.004113	2.1
118	-0.165427	5.117645	179.753405	0.003397	1.9
119	-0.320402	5.161014	179.455409	0.006261	2.1
120	-0.251096	5.204384	179.158399	0.003720	2.1
121	-0.184394	5.247754	178.862371	0.003473	2.2
122	-0.146418	5.291124	178.567319	0.003008	2.7
123	-0.198027	5.334494	178.273240	0.003535	2.2
124	-0.187373	5.377864	177.980127	0.003371	2.1
125	-0.561323	5.421234	177.687976	0.005266	2.1
126	-0.132586	5.464603	177.396783	0.005318	2.0
127	-0.683431	5.507973	177.106543	0.011580	2.0
128	-0.123432	5.551343	176.817252	0.002352	2.1
129	-0.269046	5.594713	176.528903	0.003390	2.6
130	-0.291209	5.638083	176.241494	0.005339	2.2
131	-0.169643	5.681453	175.955019	0.004085	1.9
132	-0.440802	5.724823	175.669474	0.007218	2.1
133	-0.217463	5.768193	175.384854	0.006023	2.1
134	-0.124106	5.811562	175.101154	0.004158	2.1
135	-0.268899	5.854932	174.818372	0.004570	2.0
136	-0.540870	5.898302	174.536501	0.007722	2.2
137	-0.241155	5.941672	174.255537	0.004042	2.4
138	-0.195280	5.985042	173.975477	0.002987	2.0
139	-0.337880	6.028412	173.696315	0.003750	2.0
140	-0.259267	6.071782	173.418048	0.004239	2.1
141	-0.243189	6.115151	173.140671	0.003707	2.1
142	-0.275490	6.158521	172.864180	0.002552	1.9
143	-0.212187	6.201891	172.588571	0.004708	2.0
144	-0.362598	6.245261	172.313839	0.005211	2.2
145	-0.093812	6.288631	172.039980	0.005800	2.5
146	-0.107309	6.332001	171.766991	0.003734	2.0
147	-0.117678	6.375371	171.494866	0.002939	2.0
148	-0.288224	6.418741	171.223602	0.005284	2.1
149	-0.277623	6.462110	170.953195	0.004964	2.0
150	-0.233343	6.505480	170.683641	0.002918	2.1
151	-0.386348	6.548850	170.414936	0.005123	2.0
152	-0.146307	6.592220	170.147075	0.001735	2.6
153	-0.218616	6.635590	169.880055	0.003824	2.2
154	-0.272092	6.678960	169.613872	0.004520	2.0
155	-0.299846	6.722330	169.348521	0.003372	2.0
