1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.968737	1.000000	0.002099	3.0
1	-0.970588	1.000000	0.001619	1.0
2	-0.972018	1.000000	0.001235	1.0
3	-0.973095	1.000000	0.000918	1.1
4	-0.973906	1.000000	0.000728	1.0
5	-0.974545	1.000000	0.000592	1.0
6	-0.975071	1.000000	0.000506	1.0
7	-0.975512	1.000000	0.000457	1.4
8	-0.975896	1.000000	0.000438	1.2
9	-0.976212	1.000000	0.000458	1.0
10	-0.976498	1.000000	0.000474	1.2
11	-0.976731	0.500000	0.000499	1.2
12	-0.976901	0.500000	0.000329	1.1
13	-0.977052	0.500000	0.000328	1.3
14	-0.977197	0.500000	0.000320	0.9
15	-0.977343	0.500000	0.000315	1.0
16	-0.977479	0.500000	0.000311	0.9
17	-0.977616	0.500000	0.000304	1.0
18	-0.977742	0.500000	0.000310	0.9
19	-0.977866	0.500000	0.000314	0.9
20	-0.977977	0.500000	0.000316	1.0
21	-0.978089	0.500000	0.000291	1.0
22	-0.978205	0.500000	0.000302	1.2
23	-0.978308	0.500000	0.000291	1.3
24	-0.978419	0.500000	0.000300	1.2
25	-0.978516	0.500000	0.000285	1.4
26	-0.978615	0.500000	0.000290	1.2
27	-0.978707	0.500000	0.000274	0.9
28	-0.978815	0.500000	0.000279	1.0
29	-0.978889	0.500000	0.000278	0.9
30	-0.978993	0.500000	0.000279	1.0
31	-0.979061	0.500000	0.000276	1.0
32	-0.979158	0.500000	0.000270	1.0
33	-0.979231	0.500000	0.000260	1.0
34	-0.979328	0.500000	0.000277	0.9
35	-0.979391	0.500000	0.000270	0.9
36	-0.979484	0.500000	0.000241	1.1
37	-0.979561	0.500000	0.000266	1.2
38	-0.979634	0.500000	0.000255	1.5
39	-0.979709	0.500000	0.000263	1.2
40	-0.979775	0.500000	0.000255	1.4
41	-0.979857	0.500000	0.000243	1.4
42	-0.979929	0.500000	0.000267	1.8
43	-0.979991	0.500000	0.000263	1.1
