1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.943567	1.000000	0.001540	2.8
1	-0.945048	1.000000	0.001420	1.1
2	-0.946401	1.000000	0.001287	1.0
3	-0.947626	1.000000	0.001161	0.9
4	-0.948723	1.000000	0.001034	1.0
5	-0.949713	1.000000	0.000939	1.0
6	-0.950581	1.000000	0.000834	0.9
7	-0.951360	1.000000	0.000737	0.9
8	-0.952057	1.000000	0.000665	1.0
9	-0.952704	1.000000	0.000630	0.8
10	-0.953322	1.000000	0.000604	0.9
11	-0.953917	1.000000	0.000580	0.9
12	-0.954490	1.000000	0.000573	1.1
13	-0.955039	1.000000	0.000548	0.9
14	-0.955583	1.000000	0.000537	0.9
15	-0.956133	1.000000	0.000551	1.0
16	-0.956675	1.000000	0.000535	0.9
17	-0.957211	1.000000	0.000531	0.9
18	-0.957730	1.000000	0.000510	0.8
19	-0.958224	1.000000	0.000505	0.8
20	-0.958729	1.000000	0.000503	0.9
21	-0.959220	1.000000	0.000480	0.9
22	-0.959691	1.000000	0.000462	0.9
23	-0.960136	1.000000	0.000452	0.9
24	-0.960568	1.000000	0.000438	0.9
25	-0.960996	1.000000	0.000419	0.9
26	-0.961395	1.000000	0.000407	0.9
27	-0.961795	1.000000	0.000393	0.9
28	-0.962178	1.000000	0.000375	1.0
29	-0.962545	1.000000	0.000360	1.1
30	-0.962872	1.000000	0.000345	0.9
31	-0.963196	1.000000	0.000328	1.0
32	-0.963518	1.000000	0.000316	1.0
33	-0.963824	1.000000	0.000298	0.9
34	-0.964115	1.000000	0.000286	0.9
35	-0.964395	1.000000	0.000274	1.0
36	-0.964665	1.000000	0.000264	1.0
37	-0.964923	1.000000	0.000253	1.2
38	-0.965158	1.000000	0.000242	1.0
39	-0.965384	1.000000	0.000232	1.0
40	-0.965610	1.000000	0.000221	0.9
41	-0.965816	1.000000	0.000213	1.0
42	-0.966016	1.000000	0.000207	1.2
43	-0.966219	1.000000	0.000200	0.9
