1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
125	-0.971399	0.125000	0.000131	1.2
126	-0.971408	0.125000	0.000122	0.9
127	-0.971421	0.125000	0.000132	0.9
128	-0.971430	0.125000	0.000119	1.0
129	-0.971443	0.125000	0.000123	0.9
130	-0.971454	0.125000	0.000120	0.9
131	-0.971463	0.125000	0.000135	1.0
132	-0.971475	0.125000	0.000114	0.9
133	-0.971486	0.125000	0.000142	1.0
134	-0.971493	0.125000	0.000128	0.9
135	-0.971505	0.125000	0.000116	0.9
136	-0.971517	0.125000	0.000124	0.9
137	-0.971526	0.125000	0.000127	0.9
138	-0.971538	0.125000	0.000119	1.0
139	-0.971549	0.125000	0.000117	1.3
140	-0.971561	0.125000	0.000122	1.2
141	-0.971570	0.125000	0.000124	1.2
142	-0.971580	0.125000	0.000129	1.0
143	-0.971590	0.125000	0.000109	0.9
144	-0.971601	0.125000	0.000104	0.9
145	-0.971612	0.125000	0.000106	0.9
146	-0.971622	0.125000	0.000106	0.9
147	-0.971633	0.125000	0.000115	0.9
148	-0.971642	0.125000	0.000118	0.9
149	-0.971653	0.125000	0.000114	0.8
150	-0.971662	0.125000	0.000110	0.9
151	-0.971673	0.125000	0.000109	1.0
152	-0.971684	0.125000	0.000107	0.9
153	-0.971693	0.125000	0.000117	1.0
154	-0.971703	0.125000	0.000104	1.2
155	-0.971714	0.125000	0.000108	1.4
156	-0.971724	0.125000	0.000111	1.0
157	-0.971734	0.125000	0.000120	1.0
158	-0.971742	0.125000	0.000115	0.9
159	-0.971753	0.125000	0.000109	0.9
160	-0.971764	0.125000	0.000109	1.0
161	-0.971774	0.125000	0.000109	0.9
162	-0.971785	0.125000	0.000107	0.9
163	-0.971795	0.125000	0.000113	0.8
164	-0.971805	0.125000	0.000107	0.9
165	-0.971816	0.125000	0.000115	1.0
166	-0.971825	0.125000	0.000107	0.9
167	-0.971835	0.125000	0.000116	0.9
168	-0.971845	0.125000	0.000117	0.9
169	-0.971854	0.125000	0.000104	0.9
170	-0.971866	0.125000	0.000102	1.0
171	-0.971876	0.125000	0.000124	1.2
172	-0.971884	0.125000	0.000107	0.9
173	-0.971896	0.125000	0.000104	0.9
174	-0.971906	0.125000	0.000113	0.9
175	-0.971916	0.125000	0.000106	0.9
176	-0.971927	0.125000	0.000103	0.8
177	-0.971938	0.125000	0.000108	0.9
178	-0.971949	0.125000	0.000113	1.0
179	-0.971959	0.125000	0.000118	0.9
180	-0.971968	0.125000	0.000112	0.9
181	-0.971980	0.125000	0.000112	1.0
182	-0.971991	0.125000	0.000128	1.0
183	-0.972000	0.125000	0.000110	1.0
184	-0.972013	0.125000	0.000108	0.9
185	-0.972022	0.125000	0.000106	0.9
186	-0.972033	0.125000	0.000105	0.9
187	-0.972043	0.125000	0.000119	1.2
188	-0.972052	0.125000	0.000106	1.1
189	-0.972063	0.125000	0.000109	1.0
190	-0.972072	0.125000	0.000119	0.9
