1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.676188	1.000000	0.001140	146.8
1	-0.677226	1.000000	0.001076	2.0
2	-0.678135	1.000000	0.001019	2.2
3	-0.679121	1.000000	0.000963	1.9
4	-0.680059	1.000000	0.000916	2.1
5	-0.680897	1.000000	0.000868	2.0
6	-0.681763	1.000000	0.000855	2.1
7	-0.682596	1.000000	0.000819	2.0
8	-0.683400	1.000000	0.000796	2.0
9	-0.684181	1.000000	0.000773	2.0
10	-0.684936	1.000000	0.000742	2.5
11	-0.685665	1.000000	0.000719	1.9
12	-0.686381	1.000000	0.000708	2.0
13	-0.687079	1.000000	0.000687	2.0
14	-0.687894	1.000000	0.000659	1.9
15	-0.688553	1.000000	0.000658	2.0
16	-0.689202	1.000000	0.000647	2.0
17	-0.689841	1.000000	0.000633	1.9
18	-0.690459	1.000000	0.000610	2.3
19	-0.691059	1.000000	0.000591	2.0
20	-0.691645	1.000000	0.000582	2.2
21	-0.692220	1.000000	0.000573	2.3
22	-0.692788	1.000000	0.000558	2.1
23	-0.693339	1.000000	0.000544	2.0
24	-0.693870	1.000000	0.000521	2.1
25	-0.694382	1.000000	0.000505	2.1
26	-0.694883	1.000000	0.000495	2.3
27	-0.695376	1.000000	0.000493	2.3
28	-0.695861	1.000000	0.000478	1.9
29	-0.696336	1.000000	0.000469	1.9
30	-0.696800	1.000000	0.000459	2.2
31	-0.697251	1.000000	0.000445	2.1
32	-0.697691	1.000000	0.000438	2.2
33	-0.698126	1.000000	0.000428	2.4
34	-0.698549	1.000000	0.000421	2.0
35	-0.698967	1.000000	0.000415	1.9
36	-0.699381	1.000000	0.000411	1.9
37	-0.699787	1.000000	0.000403	1.9
38	-0.700188	1.000000	0.000397	2.6
39	-0.700577	1.000000	0.000385	2.0
40	-0.700955	1.000000	0.000377	2.1
41	-0.701328	1.000000	0.000368	2.5
42	-0.701697	1.000000	0.000370	1.9
43	-0.702065	1.000000	0.000366	2.5
44	-0.702433	1.000000	0.000367	1.9
45	-0.702794	1.000000	0.000362	1.9
46	-0.703148	1.000000	0.000346	2.0
47	-0.703493	1.000000	0.000346	2.1
48	-0.703839	1.000000	0.000343	2.2
49	-0.704180	1.000000	0.000342	2.1
50	-0.704521	1.000000	0.000344	2.0
51	-0.704861	1.000000	0.000338	1.9
52	-0.705193	1.000000	0.000328	1.9
53	-0.705516	1.000000	0.000323	2.0
54	-0.705835	1.000000	0.000318	2.0
55	-0.706151	1.000000	0.000319	1.9
56	-0.706469	1.000000	0.000321	2.1
57	-0.706789	1.000000	0.000321	2.2
58	-0.707109	1.000000	0.000319	2.2
59	-0.707422	1.000000	0.000316	1.8
60	-0.707733	1.000000	0.000309	2.0
61	-0.708039	1.000000	0.000307	1.9
62	-0.708342	1.000000	0.000307	1.9
63	-0.708647	1.000000	0.000310	1.9
64	-0.708955	1.000000	0.000306	2.1
65	-0.709260	1.000000	0.000307	2.3
66	-0.709565	1.000000	0.000304	1.8
67	-0.709864	1.000000	0.000299	2.0
68	-0.710159	1.000000	0.000296	1.9
69	-0.710453	1.000000	0.000296	2.1
70	-0.710744	1.000000	0.000291	1.8
71	-0.711033	1.000000	0.000290	2.0
72	-0.711322	1.000000	0.000290	1.9
73	-0.711613	1.000000	0.000291	2.7
74	-0.711902	1.000000	0.000289	2.6
75	-0.712190	1.000000	0.000290	2.5
76	-0.712479	1.000000	0.000289	2.1
77	-0.712765	1.000000	0.000290	2.2
78	-0.713052	1.000000	0.000287	2.0
79	-0.713331	1.000000	0.000283	1.9
80	-0.713610	1.000000	0.000278	2.5
81	-0.713885	1.000000	0.000275	1.8
82	-0.714160	1.000000	0.000281	1.9
83	-0.714436	1.000000	0.000279	1.9
84	-0.714761	1.000000	0.000274	1.9
85	-0.715034	1.000000	0.000277	1.8
86	-0.715433	1.000000	0.000273	1.9
87	-0.715664	1.000000	0.000272	2.1
88	-0.715965	1.000000	0.000270	2.2
89	-0.716229	1.000000	0.000268	1.9
90	-0.716426	1.000000	0.000264	1.9
91	-0.716692	1.000000	0.000266	1.9
92	-0.716952	1.000000	0.000263	2.2
93	-0.717211	1.000000	0.000262	2.2
94	-0.717463	1.000000	0.000260	2.1
95	-0.717716	1.000000	0.000256	1.9
96	-0.717971	1.000000	0.000257	2.2
97	-0.718231	1.000000	0.000261	2.3
98	-0.718489	1.000000	0.000255	1.9
99	-0.718740	1.000000	0.000253	1.9
100	-0.718992	1.000000	0.000253	1.9
101	-0.719338	1.000000	0.000252	1.9
102	-0.719587	1.000000	0.000249	1.9
103	-0.719834	1.000000	0.000247	1.9
104	-0.720079	1.000000	0.000248	2.4
105	-0.720326	1.000000	0.000248	1.9
106	-0.720574	1.000000	0.000249	1.8
107	-0.720823	1.000000	0.000248	2.0
108	-0.721068	1.000000	0.000244	1.9
109	-0.721312	1.000000	0.000244	1.9
110	-0.721553	1.000000	0.000240	1.9
111	-0.721793	1.000000	0.000247	1.9
112	-0.722036	1.000000	0.000243	2.2
113	-0.722275	1.000000	0.000239	1.9
114	-0.722514	1.000000	0.000241	2.0
115	-0.722753	1.000000	0.000241	1.9
116	-0.722992	1.000000	0.000241	1.9
117	-0.723229	1.000000	0.000239	1.9
118	-0.723468	1.000000	0.000243	1.9
119	-0.723709	1.000000	0.000247	1.9
120	-0.723953	1.000000	0.000245	2.2
121	-0.724196	1.000000	0.000240	2.2
122	-0.724435	1.000000	0.000239	2.3
123	-0.724673	1.000000	0.000236	1.9
124	-0.724907	1.000000	0.000237	2.0
125	-0.725141	1.000000	0.000237	1.9
126	-0.725375	1.000000	0.000236	1.9
127	-0.725607	1.000000	0.000242	1.9
128	-0.725842	1.000000	0.000242	2.3
129	-0.726075	1.000000	0.000242	2.0
130	-0.726305	1.000000	0.000241	1.9
131	-0.726536	1.000000	0.000240	2.0
132	-0.726773	1.000000	0.000238	1.9
133	-0.727003	1.000000	0.000236	1.9
134	-0.727223	1.000000	0.000240	2.0
135	-0.727445	1.000000	0.000244	1.9
136	-0.727660	1.000000	0.000249	2.3
137	-0.727875	1.000000	0.000244	1.9
138	-0.728100	1.000000	0.000234	2.0
139	-0.728330	1.000000	0.000232	1.9
140	-0.728559	1.000000	0.000231	1.9
141	-0.728789	1.000000	0.000231	1.9
142	-0.729019	1.000000	0.000237	2.0
143	-0.729249	1.000000	0.000244	1.9
144	-0.729523	1.000000	0.000246	2.3
145	-0.729742	1.000000	0.000247	1.9
146	-0.729955	1.000000	0.000242	1.9
147	-0.730177	1.000000	0.000244	1.9
148	-0.730295	1.000000	0.000241	1.9
149	-0.730509	1.000000	0.000237	2.0
150	-0.730726	1.000000	0.000232	1.9
151	-0.730951	1.000000	0.000233	1.9
152	-0.731178	1.000000	0.000228	2.1
153	-0.731402	1.000000	0.000225	2.2
154	-0.731621	1.000000	0.000223	1.9
155	-0.731841	1.000000	0.000226	2.0
156	-0.732106	1.000000	0.000233	2.0
157	-0.732311	1.000000	0.000238	2.0
158	-0.732509	1.000000	0.000234	1.9
159	-0.732709	1.000000	0.000237	2.3
160	-0.732925	1.000000	0.000249	2.2
161	-0.733072	1.000000	0.000262	2.1
162	-0.733241	1.000000	0.000253	2.0
163	-0.733393	1.000000	0.000256	2.0
164	-0.733581	1.000000	0.000258	1.9
165	-0.733724	1.000000	0.000255	1.9
166	-0.733910	1.000000	0.000255	1.9
167	-0.734076	1.000000	0.000253	2.0
168	-0.734230	1.000000	0.000253	2.2
169	-0.734392	1.000000	0.000252	2.3
170	-0.734539	1.000000	0.000253	2.2
171	-0.734696	1.000000	0.000245	2.1
172	-0.735040	1.000000	0.000265	1.9
173	-0.734985	1.000000	0.000266	2.0
174	-0.735243	1.000000	0.000260	2.0
175	-0.735268	1.000000	0.000254	1.9
176	-0.735524	1.000000	0.000255	2.3
177	-0.735545	1.000000	0.000255	2.0
178	-0.735799	1.000000	0.000260	1.9
179	-0.735807	0.500000	0.000264	1.9
180	-0.736023	0.500000	0.000191	2.0
181	-0.736115	0.500000	0.000184	2.0
182	-0.736205	0.500000	0.000181	1.9
183	-0.736296	0.500000	0.000180	1.9
184	-0.736385	0.500000	0.000179	2.4
185	-0.736473	0.500000	0.000178	2.0
186	-0.736561	0.500000	0.000178	1.9
187	-0.736650	0.500000	0.000179	1.9
188	-0.736739	0.500000	0.000176	1.9
189	-0.736826	0.500000	0.000175	1.9
190	-0.736913	0.500000	0.000172	2.0
191	-0.736999	0.500000	0.000171	1.9
192	-0.737084	0.500000	0.000170	2.2
193	-0.737169	0.500000	0.000170	2.1
194	-0.737253	0.500000	0.000169	1.9
195	-0.737337	0.500000	0.000168	1.9
196	-0.737420	0.500000	0.000167	2.0
197	-0.737503	0.500000	0.000165	2.3
198	-0.737585	0.500000	0.000164	1.9
199	-0.737668	0.500000	0.000162	1.9
200	-0.737747	0.500000	0.000163	2.2
201	-0.737802	0.500000	0.000164	2.1
202	-0.737880	0.500000	0.000163	2.0
203	-0.737958	0.500000	0.000160	2.0
204	-0.738036	0.500000	0.000158	2.0
205	-0.738114	0.500000	0.000159	2.0
206	-0.738192	0.500000	0.000157	1.9
207	-0.738269	0.500000	0.000155	1.9
208	-0.738346	0.500000	0.000154	2.2
209	-0.738422	0.500000	0.000153	2.1
210	-0.738499	0.500000	0.000154	1.9
211	-0.738575	0.500000	0.000153	2.1
212	-0.738651	0.500000	0.000153	1.9
213	-0.738727	0.500000	0.000155	1.9
214	-0.738804	0.500000	0.000155	2.0
215	-0.738880	0.500000	0.000153	2.0
216	-0.738957	0.500000	0.000153	2.2
217	-0.739032	0.500000	0.000151	2.3
218	-0.739107	0.500000	0.000150	2.2
219	-0.739182	0.500000	0.000149	1.9
220	-0.739256	0.500000	0.000149	2.0
221	-0.739330	0.500000	0.000149	2.0
222	-0.739404	0.500000	0.000148	1.9
223	-0.739477	0.500000	0.000147	1.9
224	-0.739550	0.500000	0.000146	2.3
225	-0.739621	0.500000	0.000146	2.1
226	-0.739692	0.500000	0.000146	1.9
227	-0.739760	0.500000	0.000144	1.9
228	-0.739831	0.500000	0.000143	1.9
229	-0.739901	0.500000	0.000142	1.9
230	-0.739971	0.500000	0.000142	2.0
231	-0.740041	0.500000	0.000143	1.9
232	-0.740109	0.500000	0.000145	2.2
233	-0.740445	0.500000	0.000143	2.2
234	-0.740244	0.500000	0.000141	2.0
235	-0.740581	0.500000	0.000139	1.9
236	-0.740379	0.500000	0.000140	1.9
237	-0.740716	0.500000	0.000140	2.0
238	-0.740783	0.500000	0.000138	2.0
239	-0.740849	0.500000	0.000137	1.9
240	-0.740915	0.500000	0.000136	2.2
241	-0.740981	0.500000	0.000136	2.1
242	-0.741044	0.500000	0.000137	1.9
243	-0.741107	0.500000	0.000140	1.9
244	-0.741166	0.500000	0.000147	1.9
245	-0.741224	0.500000	0.000148	2.1
246	-0.741280	0.500000	0.000146	2.0
