1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.627286	1.000000	0.003034	148.0
1	-0.630203	1.000000	0.002853	2.4
2	-0.632954	1.000000	0.002857	2.3
3	-0.635681	1.000000	0.002761	1.9
4	-0.638383	1.000000	0.002682	1.9
5	-0.640957	1.000000	0.002505	1.9
6	-0.643314	1.000000	0.002279	2.6
7	-0.645506	1.000000	0.002136	2.6
8	-0.647612	1.000000	0.002079	2.4
9	-0.649613	1.000000	0.001923	2.4
10	-0.651451	1.000000	0.001774	2.0
11	-0.653174	1.000000	0.001692	1.9
12	-0.654815	1.000000	0.001596	1.9
13	-0.656364	1.000000	0.001532	2.0
14	-0.657851	1.000000	0.001446	1.9
15	-0.659284	1.000000	0.001484	2.3
16	-0.660716	1.000000	0.001391	3.0
17	-0.662044	1.000000	0.001298	2.5
18	-0.663317	1.000000	0.001271	2.4
19	-0.664550	1.000000	0.001213	2.2
20	-0.665714	1.000000	0.001145	2.2
21	-0.666927	1.000000	0.001135	2.3
22	-0.668049	1.000000	0.001117	2.3
23	-0.669151	1.000000	0.001121	1.9
24	-0.670286	1.000000	0.001156	2.0
25	-0.671369	1.000000	0.001104	1.9
26	-0.672443	1.000000	0.001074	1.8
27	-0.673513	1.000000	0.001060	1.9
28	-0.674518	1.000000	0.000994	2.0
29	-0.675501	1.000000	0.000976	1.9
30	-0.676472	1.000000	0.000996	2.6
31	-0.677555	1.000000	0.000956	2.0
32	-0.678477	1.000000	0.000918	2.1
33	-0.679388	1.000000	0.000925	2.0
34	-0.680281	1.000000	0.000927	1.9
35	-0.681165	1.000000	0.000931	1.9
36	-0.681961	1.000000	0.000870	2.0
37	-0.682799	1.000000	0.000846	2.1
38	-0.683623	1.000000	0.000824	2.2
39	-0.684421	1.000000	0.000799	2.2
40	-0.685204	1.000000	0.000780	2.1
41	-0.685973	1.000000	0.000799	1.9
42	-0.686837	1.000000	0.000774	1.9
43	-0.687621	1.000000	0.000786	2.0
44	-0.688586	1.000000	0.000750	1.9
45	-0.689320	1.000000	0.000765	2.1
46	-0.690053	1.000000	0.000747	2.2
47	-0.690777	1.000000	0.000747	1.9
48	-0.691491	1.000000	0.000736	1.9
49	-0.692216	1.000000	0.000738	1.8
50	-0.693072	1.000000	0.000724	2.0
51	-0.693763	1.000000	0.000708	1.8
52	-0.694445	1.000000	0.000690	1.8
53	-0.695104	1.000000	0.000692	1.9
54	-0.695554	1.000000	0.000724	2.4
55	-0.696167	1.000000	0.000717	2.2
56	-0.696853	1.000000	0.000683	1.8
57	-0.697619	1.000000	0.000698	1.9
58	-0.698301	1.000000	0.000704	2.1
59	-0.698912	1.000000	0.000704	1.8
60	-0.699567	1.000000	0.000731	1.9
61	-0.700247	1.000000	0.000707	1.9
62	-0.700993	1.000000	0.000691	2.5
63	-0.701661	1.000000	0.000672	2.0
64	-0.702219	1.000000	0.000674	1.9
65	-0.702808	1.000000	0.000656	2.0
66	-0.703498	1.000000	0.000679	1.9
67	-0.704284	1.000000	0.000647	1.9
68	-0.704872	1.000000	0.000618	1.9
