1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.129647	1.000000	0.003455	156.2
1	-0.133075	1.000000	0.003560	1.7
2	-0.136204	1.000000	0.003668	1.7
3	-0.137777	1.000000	0.003786	1.8
4	-0.140827	1.000000	0.003827	1.9
5	-0.144905	1.000000	0.003939	1.8
6	-0.147874	1.000000	0.004026	1.8
7	-0.147586	1.000000	0.003959	1.8
8	-0.151186	1.000000	0.004026	2.1
9	-0.152732	1.000000	0.004110	1.8
10	-0.157381	1.000000	0.004164	1.9
11	-0.162331	1.000000	0.004286	1.8
12	-0.166609	1.000000	0.004391	1.7
13	-0.170883	1.000000	0.004433	1.8
14	-0.174716	1.000000	0.004488	1.9
15	-0.179579	1.000000	0.004541	1.9
16	-0.184500	1.000000	0.004621	1.8
17	-0.187039	1.000000	0.004619	2.2
18	-0.192182	1.000000	0.004625	1.9
19	-0.194637	1.000000	0.004628	1.8
20	-0.195269	1.000000	0.004709	1.8
21	-0.201132	1.000000	0.004773	1.9
22	-0.208026	1.000000	0.004918	1.9
23	-0.214212	1.000000	0.005010	1.9
24	-0.219299	1.000000	0.005002	2.0
25	-0.220441	1.000000	0.004914	2.1
26	-0.219761	1.000000	0.004831	2.3
27	-0.224603	1.000000	0.004908	2.0
28	-0.228565	1.000000	0.005206	1.9
29	-0.231617	1.000000	0.005172	1.9
30	-0.233150	1.000000	0.005188	2.0
31	-0.239491	1.000000	0.005244	1.9
32	-0.244538	1.000000	0.005434	1.9
33	-0.250896	1.000000	0.005483	2.2
34	-0.253240	1.000000	0.005350	2.1
35	-0.259298	1.000000	0.005356	2.0
36	-0.265942	1.000000	0.005454	2.0
37	-0.269808	1.000000	0.005550	2.1
38	-0.273852	1.000000	0.005482	2.1
39	-0.278176	1.000000	0.005519	1.9
40	-0.284264	1.000000	0.005542	1.9
41	-0.291424	1.000000	0.005606	2.3
42	-0.295511	1.000000	0.005566	1.9
43	-0.301177	1.000000	0.005624	2.0
44	-0.306560	1.000000	0.005629	2.0
45	-0.312131	1.000000	0.005700	1.9
46	-0.318275	1.000000	0.005749	2.1
47	-0.322697	1.000000	0.005775	2.0
48	-0.325375	1.000000	0.005758	2.0
49	-0.331935	1.000000	0.005775	2.5
50	-0.334432	1.000000	0.005749	2.1
51	-0.340721	1.000000	0.005798	2.0
52	-0.345365	1.000000	0.005788	2.1
53	-0.350737	1.000000	0.005751	2.0
54	-0.356127	1.000000	0.005755	2.0
55	-0.364170	1.000000	0.005783	2.1
56	-0.372141	1.000000	0.005820	2.1
57	-0.376390	1.000000	0.005867	2.4
58	-0.381111	1.000000	0.005844	2.3
59	-0.389625	1.000000	0.005865	2.2
60	-0.394526	1.000000	0.005898	2.0
61	-0.400698	1.000000	0.005876	2.4
62	-0.405868	1.000000	0.005875	2.3
63	-0.411930	1.000000	0.005876	2.0
64	-0.419181	1.000000	0.005859	2.5
65	-0.423543	1.000000	0.005841	2.5
66	-0.429502	1.000000	0.005790	2.6
67	-0.434650	1.000000	0.005771	2.5
68	-0.438249	1.000000	0.005603	2.0
69	-0.442474	1.000000	0.005490	2.1
70	-0.445863	1.000000	0.005445	2.0
71	-0.447213	1.000000	0.005279	2.5
72	-0.451005	1.000000	0.005253	2.3
73	-0.455298	1.000000	0.005345	2.3
74	-0.460163	1.000000	0.005329	2.2
75	-0.462327	1.000000	0.005200	2.1
76	-0.467384	1.000000	0.005193	2.0
77	-0.472231	1.000000	0.005218	2.1
78	-0.478101	1.000000	0.005185	2.3
79	-0.482685	1.000000	0.005132	2.3
80	-0.488236	1.000000	0.005082	2.1
81	-0.491949	1.000000	0.005031	2.0
82	-0.495810	1.000000	0.004989	2.2
83	-0.501038	1.000000	0.004994	2.1
84	-0.500842	1.000000	0.004888	2.1
85	-0.504652	1.000000	0.004860	2.1
86	-0.508358	1.000000	0.004906	2.4
87	-0.512681	1.000000	0.004867	2.2
88	-0.514540	1.000000	0.004718	2.1
