1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.160654	1.000000	0.002736	351.2
1	-1.162692	1.000000	0.002488	29.4
2	-1.164048	1.000000	0.002197	27.3
3	-1.165129	0.500000	0.002792	28.1
4	-1.165841	0.250000	0.001980	26.2
5	-1.166229	0.250000	0.001530	26.4
6	-1.166587	0.250000	0.001465	28.0
7	-1.166935	0.250000	0.001469	26.5
8	-1.167283	0.250000	0.001491	26.9
9	-1.167634	0.250000	0.001496	28.2
10	-1.167984	0.250000	0.001491	27.6
11	-1.168339	0.250000	0.001505	26.9
12	-1.168705	0.250000	0.001541	28.7
13	-1.169091	0.250000	0.001625	27.1
14	-1.169508	0.250000	0.001733	27.1
15	-1.169946	0.250000	0.001760	26.9
16	-1.170384	0.250000	0.001759	26.0
17	-1.170825	0.250000	0.001768	28.6
18	-1.171259	0.250000	0.001708	26.0
19	-1.171675	0.250000	0.001659	26.2
20	-1.172091	0.250000	0.001691	28.9
21	-1.172521	0.250000	0.001753	30.8
22	-1.172959	0.250000	0.001749	31.8
23	-1.173384	0.250000	0.001636	30.0
24	-1.173761	0.250000	0.001394	31.8
25	-1.174083	0.250000	0.001227	32.1
26	-1.174377	0.250000	0.001143	26.0
27	-1.174655	0.250000	0.001094	26.8
28	-1.174920	0.250000	0.001078	26.9
29	-1.175168	0.250000	0.001142	26.0
30	-1.175375	0.250000	0.001372	26.3
31	-1.175535	0.125000	0.001582	27.8
32	-1.175676	0.125000	0.001011	26.9
33	-1.175802	0.125000	0.001007	27.2
34	-1.175928	0.125000	0.001002	30.7
35	-1.176052	0.125000	0.000990	26.4
36	-1.176175	0.125000	0.000976	27.0
37	-1.176296	0.125000	0.000966	26.1
38	-1.176417	0.125000	0.000960	28.0
39	-1.176536	0.125000	0.000953	27.1
40	-1.176655	0.125000	0.000946	27.6
41	-1.176773	0.125000	0.000940	26.1
42	-1.176890	0.125000	0.000936	27.4
43	-1.177007	0.125000	0.000936	26.4
44	-1.177124	0.125000	0.000940	25.9
45	-1.177242	0.125000	0.000948	26.8
46	-1.177361	0.125000	0.000955	27.3
47	-1.177481	0.125000	0.000961	26.6
48	-1.177601	0.125000	0.000964	27.2
49	-1.177722	0.125000	0.000965	26.1
50	-1.177842	0.125000	0.000968	26.9
51	-1.177964	0.125000	0.000987	29.0
52	-1.178089	0.125000	0.001020	26.1
53	-1.178220	0.125000	0.001064	26.9
54	-1.178355	0.125000	0.001110	27.2
55	-1.178497	0.125000	0.001151	31.1
56	-1.178642	0.125000	0.001178	26.7
57	-1.178790	0.125000	0.001179	27.0
58	-1.178936	0.125000	0.001150	26.1
59	-1.179077	0.125000	0.001105	26.7
60	-1.179212	0.125000	0.001055	25.8
61	-1.179341	0.125000	0.001007	27.0
62	-1.179464	0.125000	0.000965	26.5
63	-1.179582	0.125000	0.000934	26.0
64	-1.179698	0.125000	0.000916	26.4
65	-1.179812	0.125000	0.000910	28.0
66	-1.179925	0.125000	0.000910	26.2
67	-1.180039	0.125000	0.000909	26.3
68	-1.180152	0.125000	0.000906	28.5
69	-1.180265	0.125000	0.000901	26.5
70	-1.180377	0.125000	0.000893	27.4
71	-1.180487	0.125000	0.000887	25.9
72	-1.180595	0.125000	0.000886	26.6
73	-1.180700	0.125000	0.000901	27.5
74	-1.180799	0.125000	0.000954	27.4
75	-1.180886	0.125000	0.001055	26.7
76	-1.180963	0.125000	0.001134	29.0
77	-1.181037	0.125000	0.001156	26.5
78	-1.181107	0.062500	0.001156	26.5
79	-1.181161	0.062500	0.000802	27.7
80	-1.181211	0.062500	0.000794	28.3
81	-1.181260	0.062500	0.000787	26.8
82	-1.181309	0.062500	0.000781	25.9
83	-1.181358	0.062500	0.000775	26.9
84	-1.181406	0.062500	0.000770	28.4
85	-1.181454	0.062500	0.000766	26.8
86	-1.181502	0.062500	0.000762	26.8
87	-1.181550	0.062500	0.000759	28.1
88	-1.181597	0.062500	0.000757	27.9
89	-1.181644	0.062500	0.000755	26.4
90	-1.181691	0.062500	0.000752	26.4
91	-1.181738	0.062500	0.000750	25.8
92	-1.181785	0.062500	0.000747	26.4
93	-1.181832	0.062500	0.000744	26.9
