1:ItNr	2:Metric	FS0:test:0	Time[ms]
177	-0.946785	0.270000	0.5
178	-0.945064	0.280000	0.5
179	-0.943110	0.290000	0.5
180	-0.941613	0.300000	0.5
181	-0.939911	0.310000	0.5
182	-0.938124	0.320000	0.5
183	-0.936177	0.330000	0.5
184	-0.934370	0.340000	0.5
185	-0.932326	0.350000	0.5
186	-0.930220	0.360000	0.5
187	-0.928059	0.370000	0.5
188	-0.925839	0.380000	0.5
189	-0.923551	0.390000	0.5
190	-0.921514	0.400000	0.5
191	-0.919114	0.410000	0.5
192	-0.916889	0.420000	0.5
193	-0.914283	0.430000	0.5
194	-0.911566	0.440000	0.5
195	-0.909125	0.450000	0.5
196	-0.906562	0.460000	0.6
197	-0.903261	0.470000	0.6
198	-0.900346	0.480000	0.6
199	-0.897370	0.490000	0.5
200	-0.894183	0.500000	0.5
201	-0.890758	0.510000	0.5
202	-0.888165	0.520000	0.5
203	-0.885297	0.530000	0.5
204	-0.881992	0.540000	0.5
205	-0.878968	0.550000	0.5
206	-0.875777	0.560000	0.5
207	-0.872889	0.570000	0.5
208	-0.869801	0.580000	0.6
209	-0.866546	0.590000	0.6
210	-0.863264	0.600000	0.5
211	-0.859802	0.610000	0.5
212	-0.856625	0.620000	0.5
213	-0.853640	0.630000	0.6
214	-0.850306	0.640000	0.5
215	-0.847155	0.650000	0.5
216	-0.843549	0.660000	0.5
217	-0.840420	0.670000	0.5
218	-0.837514	0.680000	0.5
219	-0.835257	0.690000	0.5
220	-0.832010	0.700000	0.5
221	-0.829417	0.710000	0.5
222	-0.826399	0.720000	0.5
223	-0.823408	0.730000	0.6
224	-0.820489	0.740000	0.5
225	-0.816989	0.750000	0.6
226	-0.813886	0.760000	0.6
227	-0.811726	0.770000	0.6
228	-0.809410	0.780000	0.6
229	-0.806619	0.790000	0.5
230	-0.803571	0.800000	0.5
231	-0.801531	0.810000	0.5
232	-0.799536	0.820000	0.5
233	-0.796784	0.830000	0.5
234	-0.795322	0.840000	0.5
235	-0.793069	0.850000	0.5
236	-0.791539	0.860000	0.5
237	-0.789289	0.870000	0.5
238	-0.787018	0.880000	0.5
239	-0.783736	0.890000	0.5
240	-0.780939	0.900000	0.5
241	-0.778711	0.910000	0.5
242	-0.775901	0.920000	0.5
243	-0.773973	0.930000	0.5
244	-0.771391	0.940000	0.5
245	-0.769930	0.950000	0.5
246	-0.767156	0.960000	0.5
247	-0.764014	0.970000	0.5
248	-0.761104	0.980000	0.5
249	-0.759394	0.990000	0.5
250	-0.757357	1.000000	0.6
251	-0.754236	1.010000	0.6
252	-0.751929	1.020000	0.5
253	-0.750940	1.030000	0.5
254	-0.749099	1.040000	0.5
255	-0.748395	1.050000	0.6
256	-0.746435	1.060000	0.6
257	-0.744166	1.070000	0.6
258	-0.743500	1.080000	0.6
259	-0.741381	1.090000	0.6
260	-0.740098	1.100000	0.6
261	-0.738785	1.110000	0.6
262	-0.737539	1.120000	0.5
263	-0.735363	1.130000	0.6
264	-0.733777	1.140000	0.6
265	-0.731960	1.150000	0.6
266	-0.729479	1.160000	0.6
267	-0.727623	1.170000	0.6
268	-0.725514	1.180000	0.6
269	-0.724988	1.190000	0.6
270	-0.722786	1.200000	0.6
271	-0.720913	1.210000	0.6
272	-0.719657	1.220000	0.6
273	-0.719133	1.230000	0.6
274	-0.719233	1.240000	0.6
275	-0.718136	1.250000	0.6
276	-0.717993	1.260000	0.6
277	-0.717479	1.270000	0.6
278	-0.716940	1.280000	0.6
279	-0.715646	1.290000	0.6
280	-0.717248	1.300000	0.6
281	-0.716390	1.310000	0.6
282	-0.715249	1.320000	0.6
283	-0.715012	1.330000	0.6
284	-0.715086	1.340000	0.9
285	-0.714238	1.350000	0.6
286	-0.714780	1.360000	0.6
287	-0.716082	1.370000	0.6
288	-0.716379	1.380000	0.6
289	-0.716052	1.390000	0.6
290	-0.716923	1.400000	0.6
291	-0.718624	1.410000	0.6
292	-0.719833	1.420000	0.6
293	-0.719640	1.430000	0.6
294	-0.721234	1.440000	0.6
295	-0.722049	1.450000	0.6
296	-0.723763	1.460000	0.6
297	-0.724810	1.470000	0.6
298	-0.725711	1.480000	0.6
299	-0.727020	1.490000	0.6
300	-0.728984	1.500000	0.6
