1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
174	-0.188520	3.066114	2.897032	0.006051	2.7
175	-0.173830	3.584745	2.835917	0.003237	2.5
176	-0.183458	2.661313	2.946595	0.005351	2.9
177	-0.175690	2.041799	3.025819	0.011330	2.8
178	-0.177789	1.080276	3.157583	0.013693	2.6
179	-0.173918	0.116199	3.301745	0.010683	2.5
180	-0.179016	0.000000	3.320015	0.004735	2.7
181	-0.167061	0.984182	3.171385	0.007569	2.4
182	-0.168161	1.968924	3.035419	0.008690	2.8
183	-0.171914	2.968921	2.908779	0.009666	2.7
184	-0.192671	3.894178	2.800667	0.006602	2.7
185	-0.176125	3.247842	2.875320	0.005245	2.7
186	-0.172885	2.946793	2.911467	0.011038	2.5
187	-0.168163	3.734127	2.818790	0.006331	2.5
188	-0.168849	4.734124	2.709255	0.006951	2.9
189	-0.172044	3.919386	2.797834	0.008683	2.7
190	-0.179133	2.959813	2.909885	0.010781	2.6
191	-0.177912	3.959659	2.793320	0.004361	2.6
192	-0.172845	4.959647	2.685719	0.007294	2.7
193	-0.166568	4.781501	2.704276	0.008120	2.6
194	-0.174423	5.781442	2.603307	0.013547	3.1
195	-0.179130	6.708438	2.516212	0.008879	2.7
196	-0.181236	5.744359	2.606916	0.006467	2.6
197	-0.168778	6.743971	2.512989	0.009106	2.6
198	-0.184817	7.740330	2.425870	0.004658	2.6
199	-0.181243	8.201795	2.387535	0.006030	2.6
200	-0.176819	9.131122	2.313897	0.008583	3.2
201	-0.171366	8.169069	2.390214	0.007166	2.7
202	-0.183473	7.205180	2.471897	0.004901	2.5
203	-0.183894	7.940394	2.409100	0.010899	2.6
204	-0.176005	6.985005	2.491345	0.009272	2.6
205	-0.180614	6.024016	2.579939	0.007679	2.6
206	-0.183998	5.060488	2.675326	0.006844	2.9
207	-0.175714	4.587142	2.724818	0.007205	2.5
208	-0.191823	5.582406	2.622799	0.005583	2.6
209	-0.181525	6.490876	2.536125	0.010625	2.7
210	-0.174318	7.490679	2.447127	0.005460	2.6
211	-0.187866	8.489264	2.364261	0.008421	2.7
212	-0.191521	7.794111	2.421339	0.005080	3.0
213	-0.178872	7.392287	2.455607	0.005178	2.6
214	-0.170932	7.781602	2.422391	0.009397	2.6
215	-0.170059	6.817561	2.506341	0.006984	2.5
216	-0.196580	7.817561	2.419369	0.009572	2.5
217	-0.173522	6.856114	2.502873	0.012350	2.6
218	-0.187450	5.892045	2.592600	0.007496	2.9
219	-0.186311	4.927968	2.689000	0.012307	2.7
220	-0.186124	3.963889	2.792846	0.010569	2.7
221	-0.161683	3.000347	2.904971	0.011894	2.5
222	-0.173319	2.036274	3.026544	0.004218	2.6
223	-0.179625	3.036078	2.900652	0.005350	2.6
224	-0.180608	2.325767	2.988982	0.007221	3.0
225	-0.184246	1.367163	3.117083	0.007325	2.7
226	-0.171470	0.409301	3.256543	0.009395	2.7
227	-0.196950	1.409297	3.111222	0.008806	2.6
228	-0.203293	0.445281	3.251079	0.006176	2.4
229	-0.187074	1.222338	3.137397	0.010294	2.6
230	-0.193924	2.222338	3.002295	0.006218	3.4
231	-0.175288	1.261839	3.131830	0.010861	2.5
232	-0.171334	1.057692	3.160816	0.007844	2.5
233	-0.174303	0.100453	3.304209	0.004051	2.5
234	-0.199151	0.119451	3.301237	0.009980	2.5
235	-0.166449	1.050760	3.161810	0.007159	2.6
236	-0.180492	0.282126	3.276003	0.004155	3.0
237	-0.174274	0.000000	3.320015	0.007993	2.8
238	-0.170970	0.000000	3.320015	0.006236	2.8
239	-0.178351	0.000000	3.320015	0.005989	2.7
240	-0.182574	0.000000	3.320015	0.006347	2.6
241	-0.192813	0.860411	3.189341	0.008886	2.5
242	-0.179103	1.503290	3.098227	0.008943	2.9
243	-0.170801	2.490195	2.968060	0.006793	2.6
244	-0.167099	1.535639	3.093780	0.008670	2.6
245	-0.184409	0.580534	3.230703	0.007203	2.7
246	-0.186414	0.000000	3.320015	0.008976	2.6
247	-0.177095	0.000000	3.320015	0.007602	2.4
248	-0.195892	0.803189	3.197711	0.012987	2.9
249	-0.184256	0.000000	3.320015	0.012495	2.7
250	-0.183085	1.000000	3.169105	0.008883	2.8
