1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.178438	0.000000	20.228575	0.007135	414.1
1	-0.189484	0.000000	20.228575	0.008641	2.1
2	-0.180155	0.000000	20.228575	0.010721	1.9
3	-0.185969	0.000000	20.228575	0.011161	1.9
4	-0.183347	0.000000	20.228575	0.005738	1.9
5	-0.191406	0.000000	20.228575	0.012319	1.9
6	-0.186550	0.000000	20.228575	0.005600	1.8
7	-0.202407	0.000000	20.228575	0.010596	2.3
8	-0.193705	0.000000	20.228575	0.009720	1.9
9	-0.185424	0.000000	20.228575	0.006765	1.9
10	-0.206492	0.000000	20.228575	0.009420	1.9
11	-0.204578	0.000000	20.228575	0.011993	1.9
12	-0.194728	0.000000	20.228575	0.008696	1.9
13	-0.195564	0.000000	20.228575	0.012471	1.9
14	-0.194102	0.000000	20.228575	0.011203	1.8
15	-0.214214	0.000000	20.228575	0.008269	2.2
16	-0.224221	0.000000	20.228575	0.009950	2.3
17	-0.203159	0.000000	20.228575	0.011375	2.4
18	-0.213669	0.000000	20.228575	0.010563	2.3
19	-0.213624	0.000000	20.228575	0.010057	1.9
20	-0.222184	0.000000	20.228575	0.009656	1.8
21	-0.236843	0.000000	20.228575	0.009518	2.0
22	-0.217348	0.000000	20.228575	0.009389	1.8
23	-0.221221	0.000000	20.228575	0.007680	2.2
24	-0.243040	0.000000	20.228575	0.007005	2.0
25	-0.213891	0.000000	20.228575	0.009351	1.8
26	-0.240755	0.000000	20.228575	0.008782	1.8
27	-0.250447	0.000000	20.228575	0.007692	1.8
28	-0.241010	0.000000	20.228575	0.012993	1.8
29	-0.215806	0.000000	20.228575	0.009896	1.8
30	-0.242528	0.000000	20.228575	0.010265	1.8
31	-0.241850	0.000000	20.228575	0.005578	2.0
32	-0.234340	0.000000	20.228575	0.006400	2.1
33	-0.244601	0.000000	20.228575	0.009724	1.8
34	-0.235567	0.000000	20.228575	0.009648	1.8
35	-0.259744	0.000000	20.228575	0.007867	1.8
36	-0.227221	0.000000	20.228575	0.007730	1.8
37	-0.240959	0.000000	20.228575	0.006265	1.8
38	-0.229642	0.000000	20.228575	0.006740	1.8
39	-0.238788	0.000000	20.228575	0.009695	1.8
40	-0.252956	0.000000	20.228575	0.007084	2.2
41	-0.252366	0.000000	20.228575	0.006377	1.9
42	-0.247056	0.000000	20.228575	0.008847	1.8
43	-0.258361	0.000000	20.228575	0.005470	1.8
44	-0.265868	0.000000	20.228575	0.004810	1.8
45	-0.246670	0.000000	20.228575	0.005400	1.8
46	-0.243960	0.000000	20.228575	0.004902	1.8
47	-0.247425	0.000000	20.228575	0.006802	1.8
48	-0.252741	0.000000	20.228575	0.004889	1.8
49	-0.243493	0.000000	20.228575	0.007621	2.2
50	-0.243442	0.000000	20.228575	0.005370	2.0
51	-0.256765	0.000000	20.228575	0.005779	1.7
52	-0.235587	0.000000	20.228575	0.005009	1.8
53	-0.261143	0.000000	20.228575	0.004054	1.8
54	-0.265882	0.000000	20.228575	0.005429	1.7
55	-0.275008	0.698506	19.577389	0.003803	1.8
56	-0.267195	0.517767	19.741829	0.002652	1.8
57	-0.261454	0.337090	19.908998	0.003350	1.9
58	-0.255308	0.156443	20.078994	0.005505	2.0
59	-0.259853	0.000000	20.228575	0.006021	1.8
60	-0.271378	0.000000	20.228575	0.008156	1.8
61	-0.263865	0.000000	20.228575	0.005783	1.8
62	-0.271279	0.000000	20.228575	0.007558	1.8
63	-0.263781	0.000000	20.228575	0.007286	1.8
64	-0.257584	0.000000	20.228575	0.004801	1.8
65	-0.263099	0.000000	20.228575	0.005886	1.8
66	-0.271983	1.000000	19.309095	0.005884	1.9
67	-0.261122	0.819261	19.469041	0.004804	2.0
68	-0.282662	0.638573	19.631613	0.005810	1.8
69	-0.254957	0.457834	19.796969	0.004223	1.8
70	-0.264742	0.277095	19.965135	0.006293	1.7
71	-0.260728	0.096356	20.136183	0.004746	1.8
72	-0.257094	0.702778	19.573535	0.003786	1.8
73	-0.240502	0.522040	19.737910	0.006083	1.8
74	-0.271286	0.341301	19.905069	0.007909	1.8
75	-0.236264	0.160562	20.075085	0.007343	2.0
76	-0.268054	0.000000	20.228575	0.004001	2.1
77	-0.261638	0.000000	20.228575	0.004864	2.3
78	-0.260898	0.000000	20.228575	0.005204	2.0
79	-0.264775	0.997119	19.311623	0.007053	1.9
80	-0.279315	0.816380	19.471612	0.004209	1.8
81	-0.279924	0.682542	19.591803	0.004781	1.9
82	-0.271297	1.682541	18.728064	0.004742	1.8
83	-0.274170	2.682534	17.937273	0.003851	2.0
84	-0.248420	2.501795	18.075218	0.002646	2.2
85	-0.286865	2.321056	18.215302	0.003500	2.0
86	-0.293246	2.140318	18.357573	0.005573	1.8
87	-0.269351	1.959579	18.502085	0.005794	1.8
88	-0.271222	1.778840	18.648890	0.005323	1.9
89	-0.251798	1.598136	18.798014	0.004159	1.8
90	-0.272279	1.419210	18.948039	0.006207	1.8
91	-0.282814	1.238471	19.102036	0.004556	1.9
92	-0.280643	1.057745	19.258545	0.007089	2.1
93	-0.269259	0.877006	19.417652	0.007039	2.0
94	-0.273882	0.696267	19.579409	0.004107	1.9
95	-0.281992	0.515528	19.743883	0.006836	1.8
96	-0.266195	0.572727	19.691533	0.005242	1.7
97	-0.267825	0.391989	19.857905	0.003580	1.9
98	-0.289936	0.211253	20.027109	0.005931	1.8
99	-0.290867	1.211253	19.125444	0.005412	1.7
100	-0.281739	2.211253	18.301471	0.003751	1.9
101	-0.273305	2.033705	18.442543	0.001955	2.2
102	-0.276740	1.872964	18.572148	0.003233	2.2
103	-0.272517	1.721311	18.696107	0.003918	1.8
104	-0.271014	1.552726	18.835864	0.004819	1.7
105	-0.281850	1.376369	18.984317	0.004688	1.8
106	-0.277155	1.195630	19.138906	0.004227	1.8
107	-0.272892	1.014891	19.296034	0.005996	1.7
108	-0.292851	2.014891	18.457619	0.005607	1.7
109	-0.270998	3.007989	17.694113	0.004511	2.2
110	-0.267740	2.846611	17.813856	0.005308	1.9
111	-0.277286	2.665872	17.949902	0.002067	1.7
112	-0.251181	2.485133	18.088042	0.002282	1.7
113	-0.291798	2.305120	18.227758	0.002757	1.7
114	-0.260871	2.124491	18.370138	0.007847	1.7
115	-0.258956	2.026535	18.448285	0.004047	1.8
116	-0.266606	3.026535	17.680455	0.005376	1.8
117	-0.272528	2.845798	17.814463	0.004077	1.8
118	-0.287665	2.665413	17.950250	0.005632	2.1
119	-0.273959	2.484675	18.088395	0.004316	1.8
120	-0.262368	2.609211	17.992981	0.002248	1.7
121	-0.259926	2.443657	18.120043	0.002617	1.7
122	-0.271346	2.264328	18.259719	0.002898	1.8
123	-0.279014	2.304316	18.228387	0.004149	1.8
124	-0.289928	2.123577	18.370863	0.007930	1.7
125	-0.288382	3.123577	17.609332	0.005153	1.7
126	-0.265893	2.942839	17.742261	0.002481	1.8
127	-0.287025	2.762100	17.877211	0.004072	2.3
128	-0.278834	2.581367	18.014226	0.005434	2.0
129	-0.266374	2.400628	18.153362	0.002863	2.1
130	-0.275048	2.220080	18.294514	0.002711	1.8
131	-0.284069	2.062716	18.419343	0.003401	1.8
132	-0.284854	1.881977	18.564833	0.003365	1.7
133	-0.256405	1.701258	18.712623	0.002273	1.7
134	-0.234397	1.595370	18.800315	0.004880	1.8
135	-0.288437	1.440168	18.930343	0.004118	2.1
136	-0.257300	1.259429	19.084051	0.002842	1.9
137	-0.308365	1.556100	18.833047	0.003979	1.7
138	-0.284836	1.375361	18.985172	0.003484	1.8
139	-0.286678	1.669272	18.739026	0.003821	1.7
140	-0.262820	1.488541	18.889624	0.003563	1.7
141	-0.271699	1.307803	19.042668	0.006206	1.8
142	-0.282807	2.307545	18.225862	0.003991	1.8
143	-0.280277	2.126808	18.368297	0.006168	1.8
144	-0.257137	3.126684	17.607064	0.003675	2.2
145	-0.259120	2.945945	17.739959	0.005104	1.9
146	-0.289510	3.945945	17.028823	0.007184	1.7
147	-0.282537	4.945945	16.372503	0.003194	1.8
148	-0.250365	5.802434	15.849310	0.005215	1.7
149	-0.275225	6.801457	15.279778	0.001830	1.7
150	-0.262602	6.632058	15.373451	0.004741	1.8
151	-0.265694	7.627430	14.838918	0.003870	1.9
152	-0.283818	7.757822	14.771636	0.005592	1.9
153	-0.297625	8.728474	14.289333	0.004901	2.2
154	-0.273853	9.728474	13.824314	0.004320	2.1
155	-0.279778	10.728474	13.388607	0.002540	2.1
156	-0.273076	11.179020	13.201150	0.002962	2.0
157	-0.277906	11.017225	13.267861	0.005920	1.9
158	-0.279761	12.016021	12.866483	0.004873	1.7
159	-0.267333	12.175691	12.804559	0.004684	1.8
160	-0.244946	11.994959	12.874696	0.004061	1.7
161	-0.274967	11.814220	12.945610	0.007004	2.0
162	-0.286838	11.635305	13.016581	0.004124	2.2
163	-0.285645	12.635291	12.629594	0.004997	2.0
164	-0.291392	13.635291	12.264949	0.003481	2.2
165	-0.264719	14.635204	11.920798	0.002880	1.9
166	-0.265073	15.561889	11.618658	0.002433	1.8
167	-0.274597	15.381590	11.676237	0.003728	1.7
168	-0.266184	15.319296	11.696264	0.004925	1.7
169	-0.281260	15.138557	11.754760	0.002373	1.9
170	-0.263195	15.613804	11.602184	0.006824	2.2
171	-0.287126	16.021946	11.474277	0.003768	2.0
172	-0.277158	17.021946	11.172497	0.003590	2.0
173	-0.287498	16.841616	11.225738	0.004054	2.2
174	-0.283872	16.660878	11.279612	0.002897	2.1
175	-0.287047	16.648290	11.283383	0.002901	2.1
176	-0.264840	16.467618	11.337792	0.003817	2.3
177	-0.283642	16.713960	11.263736	0.004231	2.3
178	-0.280213	17.713474	10.972926	0.003400	2.3
179	-0.294026	17.536026	11.023453	0.004329	2.0
180	-0.300605	18.533971	10.745191	0.005201	2.0
181	-0.272289	19.530094	10.481103	0.003248	2.2
182	-0.264654	20.530094	10.228729	0.004199	2.3
183	-0.263913	21.526508	9.989066	0.004926	2.2
184	-0.300827	21.345918	10.031665	0.004142	2.1
185	-0.254950	21.165180	10.074665	0.003443	2.5
186	-0.290362	22.165179	9.841268	0.002837	2.3
187	-0.266367	23.159721	9.619628	0.004631	2.3
188	-0.264508	22.978983	9.659161	0.003570	2.3
189	-0.276083	23.896738	9.461714	0.002744	2.1
190	-0.277945	24.046952	9.430163	0.006184	2.0
191	-0.287444	23.866213	9.468151	0.003934	1.9
192	-0.285959	24.866213	9.261721	0.002252	2.4
193	-0.271747	24.719623	9.291417	0.005079	2.1
194	-0.256296	24.748045	9.285645	0.003662	2.0
195	-0.293696	24.987307	9.237333	0.003028	2.0
196	-0.272385	24.806575	9.273780	0.003613	2.0
