1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.151843	0.000000	6.627633	0.005512	650.8
1	-0.169245	0.000000	6.627633	0.008759	3.8
2	-0.171297	0.399423	6.503927	0.004455	4.2
3	-0.165853	1.399416	6.213568	0.004388	4.2
4	-0.173675	2.369735	5.955579	0.005259	3.1
5	-0.171512	3.365413	5.712207	0.005817	4.1
6	-0.173968	2.413257	5.944508	0.002541	4.8
7	-0.173295	3.310847	5.725029	0.003901	3.3
8	-0.156883	4.179851	5.527447	0.003729	2.9
9	-0.160375	3.224181	5.745511	0.002942	4.9
10	-0.176964	4.173145	5.528920	0.005763	3.9
11	-0.176207	3.288379	5.730325	0.004973	3.0
12	-0.165963	2.393187	5.949608	0.005232	3.0
13	-0.164341	3.393187	5.705704	0.003277	3.8
14	-0.166108	3.780117	5.616612	0.009071	3.1
15	-0.158511	4.780027	5.398765	0.006308	3.7
16	-0.157577	5.780013	5.197171	0.002801	3.0
17	-0.172728	4.982144	5.356767	0.005136	3.0
18	-0.159058	5.955667	5.163304	0.004381	4.0
19	-0.180429	6.840422	4.999216	0.005170	3.8
20	-0.156245	7.840355	4.825887	0.004368	3.1
21	-0.165691	6.891832	4.990002	0.005932	2.9
22	-0.164354	5.932750	5.167697	0.005236	3.1
23	-0.158154	6.319391	5.094561	0.003642	4.0
24	-0.176067	7.317633	4.914969	0.006051	3.9
25	-0.171119	8.272366	4.754665	0.005779	3.0
26	-0.171541	7.313145	4.915748	0.004459	2.9
27	-0.168818	6.589762	5.044635	0.005929	3.3
28	-0.182312	7.589762	4.868186	0.005838	3.2
29	-0.201087	7.468191	4.888976	0.004110	4.1
30	-0.164575	6.610148	5.040911	0.004823	3.0
31	-0.148989	7.610147	4.864718	0.006515	3.0
32	-0.171457	8.232262	4.761188	0.002873	3.4
33	-0.166285	9.219179	4.605694	0.005347	3.5
34	-0.176198	8.367987	4.739184	0.004758	3.8
35	-0.151011	9.232236	4.603705	0.004784	4.0
36	-0.166910	8.390128	4.735614	0.003497	3.1
37	-0.167102	7.823158	4.828766	0.005775	4.0
38	-0.155145	6.864304	4.994932	0.002402	3.9
39	-0.171376	7.799187	4.832785	0.005914	3.1
40	-0.154647	8.420484	4.730728	0.003485	2.9
41	-0.158081	9.299111	4.593544	0.005757	3.4
42	-0.167317	8.340519	4.743621	0.005488	3.2
43	-0.179120	7.381414	4.903924	0.007675	4.0
44	-0.186416	8.363503	4.739908	0.006700	3.0
45	-0.178232	9.363503	4.583802	0.006959	3.0
