1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.106704	0.000000	4.822222	0.008541	642.1
1	-0.103465	0.000000	4.822222	0.006690	3.2
2	-0.077491	1.000000	4.603031	0.008331	3.0
3	-0.099655	1.999997	4.402899	0.017089	3.7
4	-0.093007	2.999997	4.219445	0.005025	3.3
5	-0.092876	3.954638	4.058030	0.008763	3.7
6	-0.097239	4.954637	3.901679	0.006659	3.1
7	-0.092683	3.989662	4.052343	0.006643	3.0
8	-0.097183	3.024726	4.215102	0.005022	3.5
9	-0.095752	4.024725	4.046665	0.007011	3.7
10	-0.090889	4.679371	3.943503	0.003521	3.8
11	-0.106573	3.723968	4.095891	0.007241	3.7
12	-0.103793	2.759708	4.262118	0.010996	3.5
13	-0.099905	3.753197	4.091054	0.015625	3.2
14	-0.106008	4.753194	3.932199	0.010045	4.1
15	-0.091399	3.881769	4.069915	0.005801	3.1
16	-0.101106	3.551048	4.124739	0.010013	3.1
17	-0.099815	2.586072	4.293495	0.006863	4.0
18	-0.104747	3.585710	4.118924	0.010497	3.8
19	-0.111466	2.649977	4.281893	0.006894	3.2
20	-0.109274	1.685001	4.464037	0.004626	3.3
21	-0.097996	0.721742	4.661996	0.009177	3.2
22	-0.105448	0.000000	4.822222	0.008632	3.6
23	-0.112660	0.000000	4.822222	0.010110	4.2
24	-0.099594	1.000000	4.603031	0.006220	3.1
25	-0.116216	1.702749	4.460547	0.005144	3.1
26	-0.101385	0.956126	4.612229	0.004768	4.2
27	-0.106083	0.004470	4.821196	0.009471	3.9
28	-0.101393	1.004468	4.602096	0.008208	3.0
29	-0.093774	0.039492	4.813171	0.005371	3.1
30	-0.100792	1.039189	4.594846	0.006641	2.9
31	-0.096574	1.922732	4.417740	0.006286	4.0
32	-0.095318	2.009936	4.400998	0.003920	4.7
33	-0.089496	1.300381	4.541029	0.006321	3.3
34	-0.106732	1.890940	4.423876	0.006382	3.2
35	-0.098402	2.871465	4.242164	0.007027	3.5
36	-0.105651	2.782504	4.258032	0.005332	4.4
37	-0.085494	3.469784	4.138438	0.007728	3.4
38	-0.087376	4.465781	3.976578	0.005296	3.7
39	-0.101258	3.511197	4.131445	0.005045	3.4
40	-0.108759	4.509627	3.969743	0.007265	3.7
41	-0.092020	4.992740	3.895960	0.007331	4.0
42	-0.106745	5.992738	3.751626	0.010217	3.1
43	-0.104280	6.992738	3.617605	0.009415	3.1
44	-0.101087	7.992708	3.492833	0.007256	4.1
45	-0.092688	7.027731	3.613088	0.011225	4.0
46	-0.095927	6.062756	3.741920	0.002783	3.2
47	-0.090979	6.715887	3.653741	0.007601	3.1
