1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
0	-1.341756	-1.341756	0.000000	11829.946882	0.002382	0.002382	2.6	226.0
1	-1.348144	-1.348144	0.000000	11829.946882	0.002481	0.002481	2.7	3.2
2	-1.347096	-1.347096	1.000000	11292.222024	0.001030	0.001030	2.9	3.6
3	-1.369985	-1.369985	0.125298	11759.781104	0.000989	0.000989	3.3	3.9
4	-1.355782	-1.355782	0.000000	11829.946882	0.000965	0.000965	3.1	3.7
5	-1.359088	-1.359088	0.000000	11829.946882	0.001456	0.001456	2.9	3.6
6	-1.354720	-1.354720	0.000000	11829.946882	0.000931	0.000931	2.9	3.5
7	-1.381326	-1.381326	0.000000	11829.946882	0.001077	0.001077	3.7	4.3
8	-1.334270	-1.334270	0.000000	11829.946882	0.001059	0.001059	2.9	3.6
9	-1.356500	-1.356500	0.000000	11829.946882	0.003026	0.003026	3.0	3.6
10	-1.379161	-1.379161	0.000000	11829.946882	0.001393	0.001393	2.9	3.5
11	-1.384358	-1.384358	0.000000	11829.946882	0.000964	0.000964	3.7	4.5
12	-1.343376	-1.343376	0.000000	11829.946882	0.000990	0.000990	2.9	3.6
13	-1.395397	-1.395397	0.000000	11829.946882	0.000977	0.000977	2.8	3.4
14	-1.355549	-1.355549	0.000000	11829.946882	0.001089	0.001089	2.9	3.6
15	-1.346386	-1.346386	0.000000	11829.946882	0.000965	0.000965	3.0	3.7
16	-1.364267	-1.364267	0.000000	11829.946882	0.002079	0.002079	3.2	3.9
17	-1.361711	-1.361711	0.000000	11829.946882	0.001290	0.001290	2.8	3.5
18	-1.384768	-1.384768	0.000000	11829.946882	0.000964	0.000964	2.8	3.4
19	-1.342681	-1.342681	0.000000	11829.946882	0.000965	0.000965	2.8	3.4
20	-1.355161	-1.355161	0.000000	11829.946882	0.001768	0.001768	3.9	4.6
21	-1.360473	-1.360473	0.000000	11829.946882	0.001002	0.001002	3.3	4.0
22	-1.351929	-1.351929	0.000000	11829.946882	0.000999	0.000999	3.3	4.0
23	-1.341428	-1.341428	0.000000	11829.946882	0.001070	0.001070	2.8	3.5
24	-1.338774	-1.338774	0.000000	11829.946882	0.002990	0.002990	3.5	4.2
25	-1.366881	-1.366881	0.000000	11829.946882	0.000996	0.000996	2.9	3.6
26	-1.340625	-1.340625	0.000000	11829.946882	0.001193	0.001193	2.8	3.4
27	-1.386446	-1.386446	0.000000	11829.946882	0.000971	0.000971	2.8	3.4
28	-1.386998	-1.386998	0.987995	11298.387152	0.001009	0.001009	3.3	4.1
29	-1.376268	-1.376268	0.113294	11766.467274	0.001405	0.001405	3.4	4.1
30	-1.394001	-1.394001	0.000000	11829.946882	0.004574	0.004574	3.1	3.8
31	-1.350334	-1.350334	0.000000	11829.946882	0.001629	0.001629	3.1	3.7
32	-1.392090	-1.392090	0.000000	11829.946882	0.002069	0.002069	3.1	3.9
33	-1.351340	-1.351340	0.000000	11829.946882	0.000916	0.000916	3.3	4.1
34	-1.370743	-1.370743	0.000000	11829.946882	0.000997	0.000997	3.1	3.8
35	-1.381273	-1.381273	0.000000	11829.946882	0.001345	0.001345	3.1	3.7
36	-1.368269	-1.368269	0.000000	11829.946882	0.001056	0.001056	3.2	3.8
37	-1.383285	-1.383285	0.000000	11829.946882	0.002164	0.002164	3.4	4.1
38	-1.355142	-1.355142	0.000000	11829.946882	0.003962	0.003962	3.0	3.7
39	-1.377862	-1.377862	1.000000	11292.222024	0.002959	0.002959	2.9	3.5
40	-1.338496	-1.338496	2.000000	10801.255849	0.000990	0.000990	3.0	3.7
41	-1.377874	-1.377874	2.999999	10351.203871	0.001559	0.001559	3.6	4.3
42	-1.365192	-1.365192	2.125451	10742.661313	0.000955	0.000955	3.1	3.9
43	-1.365424	-1.365424	1.250773	11164.954989	0.001861	0.001861	3.1	3.8
44	-1.367779	-1.367779	0.376494	11621.591414	0.000956	0.000956	2.8	3.4
45	-1.368931	-1.368931	0.000000	11829.946882	0.001001	0.001001	3.7	4.4
46	-1.355685	-1.355685	0.000000	11829.946882	0.002854	0.002854	3.2	3.9
47	-1.378680	-1.378680	0.000000	11829.946882	0.001652	0.001652	3.1	3.8
48	-1.333745	-1.333745	0.000000	11829.946882	0.001550	0.001550	3.0	3.6
49	-1.387215	-1.387215	0.000000	11829.946882	0.001702	0.001702	3.5	4.2
50	-1.362654	-1.362654	0.000000	11829.946882	0.001119	0.001119	3.3	4.0
51	-1.370598	-1.370598	0.000000	11829.946882	0.001909	0.001909	3.1	3.7
52	-1.375533	-1.375533	0.000000	11829.946882	0.002233	0.002233	2.9	3.6
53	-1.384385	-1.384385	0.000000	11829.946882	0.001570	0.001570	3.1	3.8
54	-1.374193	-1.374193	0.999967	11292.238739	0.001631	0.001631	3.3	4.2
55	-1.351663	-1.351663	0.125266	11759.799337	0.001025	0.001025	3.0	3.7
56	-1.372140	-1.372140	0.000000	11829.946882	0.000993	0.000993	2.8	3.5
57	-1.365074	-1.365074	0.000000	11829.946882	0.001068	0.001068	3.1	3.8
58	-1.373814	-1.373814	0.000000	11829.946882	0.000977	0.000977	3.7	4.3
59	-1.368328	-1.368328	0.000000	11829.946882	0.001858	0.001858	3.2	3.9
60	-1.374522	-1.374522	0.000000	11829.946882	0.000979	0.000979	3.0	3.6
