1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
134	-1.240877	-1.240877	3.165440	9174.615054	0.001039	0.001039	2.0	2.5
135	-1.258372	-1.258372	2.553959	9412.795923	0.000874	0.000874	1.8	2.3
136	-1.242351	-1.242351	1.942478	9663.673160	0.001235	0.001235	1.9	2.4
137	-1.277964	-1.277964	2.942478	9260.052730	0.001066	0.001066	1.7	2.2
138	-1.244898	-1.244898	2.330997	9502.748988	0.000898	0.000898	1.6	2.1
139	-1.286141	-1.286141	1.719516	9758.509279	0.001109	0.001109	1.8	2.7
140	-1.265398	-1.265398	2.715758	9348.577882	0.001073	0.001073	1.8	2.4
141	-1.285210	-1.285210	2.104277	9595.998627	0.000864	0.000864	1.7	2.3
142	-1.282393	-1.282393	1.492796	9856.871952	0.001340	0.001340	1.7	2.5
143	-1.259499	-1.259499	0.881315	10132.325668	0.000932	0.000932	1.7	2.2
144	-1.270309	-1.270309	1.881315	9689.504733	0.000862	0.000862	1.8	2.4
145	-1.264795	-1.264795	1.269834	9955.557353	0.001112	0.001112	2.2	2.7
146	-1.283540	-1.283540	0.658353	10236.632917	0.001174	0.001174	2.5	3.6
147	-1.264223	-1.264223	1.658349	9784.852599	0.000883	0.000883	2.1	2.6
148	-1.272252	-1.272252	1.046868	10056.240397	0.000986	0.000986	2.1	2.7
149	-1.264840	-1.264840	0.435387	10343.111793	0.001456	0.001456	2.2	2.7
150	-1.258224	-1.258224	1.435387	9882.094040	0.000986	0.000986	2.2	2.7
151	-1.267988	-1.267988	2.435387	9460.420016	0.001094	0.001094	2.0	2.7
152	-1.258664	-1.258664	1.823906	9713.876483	0.000913	0.000913	2.9	3.4
153	-1.259012	-1.259012	1.212425	9981.287644	0.001388	0.001388	2.2	2.7
154	-1.277223	-1.277223	0.712008	10211.335904	0.001747	0.001747	2.4	2.8
155	-1.277168	-1.277168	0.100527	10507.254457	0.000848	0.000848	1.9	2.4
156	-1.280745	-1.280745	0.000000	10557.552677	0.001747	0.001747	1.7	2.2
157	-1.282911	-1.282911	0.999775	10077.766931	0.001314	0.001314	2.2	2.8
158	-1.295289	-1.295289	1.999775	9639.598867	0.001199	0.001199	2.5	3.1
159	-1.292357	-1.292357	2.999775	9237.945151	0.000938	0.000938	2.4	2.9
160	-1.285293	-1.285293	3.999775	8868.424021	0.000964	0.000964	2.1	2.6
161	-1.272174	-1.272174	4.999774	8527.328185	0.000999	0.000999	1.8	2.3
162	-1.292054	-1.292054	4.388293	8732.710198	0.000840	0.000840	1.6	2.2
163	-1.285503	-1.285503	5.386359	8402.394701	0.000922	0.000922	3.7	4.3
164	-1.304315	-1.304315	4.774878	8601.732373	0.001078	0.001078	2.0	2.5
165	-1.270875	-1.270875	4.166199	8809.777072	0.001224	0.001224	2.4	3.3
166	-1.281467	-1.281467	3.554718	9029.165085	0.000776	0.000776	1.7	2.2
167	-1.299820	-1.299820	2.965165	9251.286347	0.001782	0.001782	2.0	2.6
168	-1.305913	-1.305913	2.353684	9493.517307	0.001108	0.001108	1.8	2.4
169	-1.304772	-1.304772	1.742203	9748.774237	0.001116	0.001116	2.6	3.3
170	-1.293639	-1.293639	1.130722	10018.136875	0.000816	0.000816	2.5	3.0
171	-1.276551	-1.276551	2.130718	9585.029248	0.000782	0.000782	2.1	2.6
172	-1.276387	-1.276387	1.519237	9845.298407	0.001133	0.001133	1.7	2.3
173	-1.291200	-1.291200	2.510573	9430.165865	0.000859	0.000859	1.9	2.6
174	-1.306737	-1.306737	1.899092	9681.982256	0.000731	0.000731	2.5	3.2
175	-1.299968	-1.299968	1.287611	9947.616272	0.000939	0.000939	2.4	3.0
176	-1.287706	-1.287706	0.676130	10228.237288	0.000812	0.000812	1.9	2.4
177	-1.327634	-1.327634	0.064650	10525.150476	0.001553	0.001553	1.6	2.1
178	-1.313691	-1.313691	0.000000	10557.552677	0.000779	0.000779	2.1	2.7
179	-1.299705	-1.299705	1.000000	10077.663919	0.001238	0.001238	1.7	2.1
180	-1.291366	-1.291366	0.388519	10365.776411	0.001015	0.001015	2.8	3.4
181	-1.314476	-1.314476	0.000000	10557.552677	0.000710	0.000710	2.1	2.7
182	-1.277306	-1.277306	0.000000	10557.552677	0.001121	0.001121	2.5	3.0
183	-1.299259	-1.299259	0.779508	10179.688363	0.001107	0.001107	2.4	2.9
184	-1.312939	-1.312939	1.779508	9732.809165	0.000942	0.000942	2.2	2.6
185	-1.289473	-1.289473	2.779508	9323.515201	0.000925	0.000925	1.8	2.3
186	-1.305513	-1.305513	2.168027	9569.593639	0.000997	0.000997	2.9	3.6
187	-1.328422	-1.328422	2.006803	9636.654112	0.000878	0.000878	2.0	2.5
188	-1.293183	-1.293183	1.395322	9899.772915	0.000809	0.000809	2.2	2.7
189	-1.308457	-1.308457	0.783841	10177.663414	0.001609	0.001609	1.7	2.2
190	-1.302846	-1.302846	1.783004	9731.315813	0.001709	0.001709	1.7	2.2
191	-1.307586	-1.307586	2.783004	9322.144800	0.001512	0.001512	2.0	2.8
192	-1.307556	-1.307556	3.782973	8946.005169	0.001133	0.001133	3.6	4.2
193	-1.314480	-1.314480	4.782973	8599.031796	0.001390	0.001390	6.1	6.8
194	-1.305442	-1.305442	5.782973	8277.968420	0.001172	0.001172	6.3	7.1
195	-1.307070	-1.307070	6.781152	7980.540554	0.000874	0.000874	5.7	6.5
196	-1.319509	-1.319509	6.169671	8160.150702	0.001653	0.001653	4.8	5.4
197	-1.308892	-1.308892	5.558190	8348.031608	0.000996	0.000996	5.4	6.2
198	-1.285065	-1.285065	4.946709	8544.767989	0.001297	0.001297	3.0	3.6
199	-1.333409	-1.333409	5.946709	8227.669226	0.000694	0.000694	2.5	3.2
