1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
64	-1.159559	-1.216744	0.000114	26.375446	5804.448087	0.002100	0.000002	0.002103	1.7	0.9	3.1
65	-1.179142	-1.236287	0.000114	27.375446	5684.460602	0.000908	0.000002	0.001086	1.7	0.9	3.1
66	-1.162290	-1.217873	0.000111	28.375446	5569.333325	0.001067	0.000002	0.001192	1.7	0.9	3.1
67	-1.181029	-1.236815	0.000112	27.728927	5643.225361	0.000871	0.000002	0.000980	2.2	0.9	3.8
68	-1.172616	-1.228012	0.000111	28.728927	5529.745630	0.001763	0.000002	0.001900	1.7	0.9	3.1
69	-1.157994	-1.213673	0.000111	29.728927	5420.739862	0.001232	0.000002	0.001398	1.7	0.9	3.1
70	-1.150166	-1.207350	0.000114	29.089604	5489.927902	0.001474	0.000002	0.001565	1.7	0.9	3.1
71	-1.141529	-1.198961	0.000115	30.089604	5382.471052	0.001196	0.000002	0.001318	1.7	0.9	3.1
72	-1.150946	-1.208627	0.000115	31.089604	5279.140049	0.001358	0.000002	0.001371	2.1	0.9	3.8
73	-1.161657	-1.216682	0.000110	32.089604	5179.701748	0.001396	0.000002	0.001536	1.7	0.9	3.1
74	-1.150694	-1.206540	0.000112	31.443707	5243.495048	0.001105	0.000002	0.001209	1.8	0.9	3.2
75	-1.164939	-1.220623	0.000111	30.797188	5308.942983	0.001597	0.000002	0.001696	1.7	0.9	3.1
76	-1.176119	-1.229678	0.000107	30.160779	5374.983016	0.002270	0.000002	0.002329	1.8	1.1	3.4
77	-1.187871	-1.246318	0.000117	31.160779	5271.936567	0.001235	0.000002	0.001398	1.9	0.9	3.5
78	-1.165408	-1.221691	0.000113	32.160779	5172.766903	0.001069	0.000002	0.001192	1.7	0.9	3.1
79	-1.158540	-1.213797	0.000111	31.514365	5236.439864	0.001752	0.000002	0.001876	1.8	0.9	3.2
80	-1.154284	-1.211877	0.000115	32.514365	5138.588757	0.001273	0.000002	0.001279	1.7	0.9	3.1
81	-1.177616	-1.233270	0.000111	33.514365	5044.327570	0.001222	0.000002	0.001317	2.0	1.3	3.8
82	-1.156439	-1.210169	0.000107	32.867846	5104.869316	0.000922	0.000002	0.001045	1.9	0.9	3.5
83	-1.155315	-1.213258	0.000116	32.221327	5166.881953	0.001504	0.000002	0.001535	1.7	0.9	3.1
84	-1.165681	-1.222249	0.000113	31.574808	5230.419744	0.001492	0.000002	0.001599	1.8	0.9	3.2
85	-1.170911	-1.227236	0.000113	32.574808	5132.791402	0.000751	0.000002	0.000939	1.8	1.0	3.3
86	-1.179798	-1.236803	0.000114	32.130339	5175.730492	0.001687	0.000002	0.001743	1.9	1.3	3.8
87	-1.130031	-1.185310	0.000111	33.129726	5080.171968	0.001267	0.000002	0.001263	1.8	0.9	3.4
88	-1.154279	-1.211383	0.000114	32.483207	5141.582413	0.001307	0.000002	0.001425	1.8	0.9	3.2
89	-1.153162	-1.208390	0.000110	31.936815	5194.651720	0.001660	0.000002	0.001758	1.8	0.9	3.2
90	-1.172539	-1.227833	0.000111	31.290296	5258.878568	0.001410	0.000002	0.001528	1.7	0.9	3.1
91	-1.154491	-1.211073	0.000113	32.284866	5160.720768	0.001048	0.000002	0.001157	2.3	1.2	3.9
92	-1.164025	-1.222358	0.000117	31.645452	5223.401164	0.002594	0.000002	0.002691	1.7	0.9	3.1
93	-1.186047	-1.241746	0.000111	32.645452	5126.032217	0.001210	0.000002	0.001247	1.7	0.9	3.1
94	-1.171593	-1.228543	0.000114	33.645452	5032.226932	0.001904	0.000002	0.002008	1.8	0.9	3.2
95	-1.177470	-1.234303	0.000114	34.645446	4941.793733	0.001115	0.000002	0.001231	1.7	0.9	3.1
96	-1.149507	-1.207658	0.000116	34.004294	4999.397220	0.001834	0.000002	0.001855	2.3	1.1	3.9
97	-1.180130	-1.237255	0.000114	35.004294	4910.129115	0.000851	0.000002	0.000961	1.8	0.9	3.2
98	-1.153036	-1.209804	0.000114	36.004294	4823.992988	0.001018	0.000002	0.001142	1.8	0.9	3.2
99	-1.174627	-1.229842	0.000110	35.357817	4879.328712	0.001007	0.000002	0.001148	1.7	0.9	3.1
100	-1.150328	-1.208115	0.000116	35.983863	4825.722608	0.001709	0.000002	0.001788	1.7	0.9	3.1
101	-1.170087	-1.227472	0.000115	35.337344	4881.101882	0.001171	0.000002	0.001285	2.4	1.0	3.9
102	-1.166114	-1.223231	0.000114	34.690834	4937.766186	0.000992	0.000002	0.001130	1.8	0.9	3.2
103	-1.172200	-1.229366	0.000114	34.044315	4995.762357	0.001407	0.000002	0.001546	1.7	0.9	3.1
104	-1.162546	-1.217899	0.000111	35.043895	4906.659645	0.001828	0.000002	0.001951	1.7	0.9	3.2
105	-1.170556	-1.227894	0.000115	36.043895	4820.644136	0.002661	0.000002	0.002732	1.7	0.9	3.1
106	-1.178104	-1.232489	0.000109	35.397821	4875.867725	0.001046	0.000002	0.001099	2.1	1.0	3.8
107	-1.178991	-1.235817	0.000114	36.397821	4790.919070	0.001194	0.000002	0.001369	1.7	0.9	3.1
108	-1.190239	-1.244311	0.000108	37.397758	4708.884839	0.001771	0.000002	0.001831	1.7	0.9	3.1
109	-1.180057	-1.236003	0.000112	38.397758	4629.607691	0.001654	0.000002	0.001734	1.8	0.9	3.2
110	-1.193664	-1.248500	0.000110	37.751239	4680.553496	0.001247	0.000002	0.001287	1.8	1.2	3.5
111	-1.160311	-1.215559	0.000110	38.751239	4602.219497	0.001754	0.000002	0.001851	2.0	0.9	3.5
112	-1.165125	-1.222034	0.000114	39.751010	4526.481365	0.001214	0.000002	0.001359	1.7	0.9	3.1
113	-1.163392	-1.219006	0.000111	39.104491	4575.170837	0.000892	0.000002	0.001044	1.7	0.9	3.1
114	-1.163426	-1.219381	0.000112	38.457972	4624.919166	0.001584	0.000002	0.001730	1.7	0.9	3.2
115	-1.161620	-1.219006	0.000115	37.811453	4675.761269	0.001239	0.000002	0.001386	1.8	1.4	3.7
116	-1.182697	-1.238711	0.000112	38.811453	4597.586254	0.001130	0.000002	0.001221	2.0	1.1	3.7
117	-1.157863	-1.212499	0.000109	38.288558	4638.134665	0.001359	0.000002	0.001387	1.9	1.1	3.5
118	-1.158990	-1.216582	0.000115	37.642039	4689.269348	0.001193	0.000002	0.001342	1.9	1.1	3.5
119	-1.190110	-1.247129	0.000114	36.995520	4741.544103	0.002182	0.000002	0.002227	1.8	1.1	3.4
120	-1.179802	-1.237810	0.000116	36.349001	4794.997487	0.001890	0.000002	0.001918	2.5	1.1	4.2
121	-1.151607	-1.209137	0.000115	35.702482	4849.669818	0.001032	0.000002	0.001196	2.0	1.0	3.5
122	-1.210274	-1.264874	0.000109	36.702482	4765.623696	0.002495	0.000002	0.002536	1.9	1.0	3.3
123	-1.187344	-1.243945	0.000113	37.702482	4684.441035	0.000823	0.000002	0.000979	1.9	0.9	3.3
124	-1.156896	-1.215395	0.000117	37.082880	4734.412576	0.001392	0.000002	0.001522	1.8	1.4	3.7
125	-1.151391	-1.207380	0.000112	36.436361	4787.704384	0.001146	0.000002	0.001218	1.9	1.1	3.6
126	-1.157472	-1.215222	0.000115	37.436361	4705.774156	0.001102	0.000002	0.001199	2.0	1.0	3.6
127	-1.163824	-1.219039	0.000110	38.436361	4626.600835	0.000827	0.000002	0.001012	1.8	0.9	3.2
128	-1.156498	-1.215004	0.000117	37.789851	4677.479347	0.001401	0.000002	0.001527	1.8	0.9	3.2
129	-1.156497	-1.211424	0.000110	38.759357	4601.594308	0.001259	0.000002	0.001347	2.3	1.3	4.1
130	-1.173366	-1.229890	0.000113	38.112838	4651.922090	0.001734	0.000002	0.001806	2.0	1.2	3.6
131	-1.141059	-1.198414	0.000115	37.466319	4703.362918	0.001606	0.000002	0.001659	2.0	0.9	3.5
132	-1.168667	-1.225767	0.000114	36.819800	4755.954130	0.001050	0.000002	0.001162	1.9	0.9	3.3
133	-1.189448	-1.245245	0.000112	37.819799	4675.097817	0.001410	0.000002	0.001481	2.0	0.9	3.5
134	-1.162876	-1.220274	0.000115	38.791951	4599.085830	0.001375	0.000002	0.001484	2.2	1.0	3.9
135	-1.168147	-1.223802	0.000111	38.145432	4649.358457	0.000786	0.000002	0.000918	2.0	1.1	3.7
136	-1.140293	-1.197548	0.000115	39.145409	4572.058292	0.000948	0.000002	0.001100	1.8	0.9	3.3
137	-1.141295	-1.197671	0.000113	38.666770	4608.734737	0.001111	0.000002	0.001279	1.9	0.9	3.4
138	-1.162522	-1.219371	0.000114	39.041729	4579.953282	0.001440	0.000002	0.001553	2.3	1.3	4.1
139	-1.178458	-1.232298	0.000108	38.395272	4629.801429	0.001589	0.000002	0.001665	1.7	1.0	3.3
140	-1.170048	-1.225612	0.000111	39.395272	4553.143087	0.000930	0.000002	0.001027	1.9	0.9	3.3
141	-1.161096	-1.215768	0.000109	38.748753	4602.410949	0.000913	0.000002	0.001057	2.1	0.9	3.5
142	-1.158499	-1.213237	0.000109	38.526014	4619.632598	0.001422	0.000002	0.001493	2.0	1.1	3.6
143	-1.158014	-1.213375	0.000111	39.525990	4543.309692	0.001321	0.000002	0.001384	2.0	1.0	3.7
144	-1.178311	-1.233546	0.000110	40.525990	4469.465943	0.000908	0.000002	0.001031	2.1	1.0	3.6
145	-1.144622	-1.202380	0.000116	39.879471	4516.930129	0.001136	0.000002	0.001212	2.0	0.9	3.4
146	-1.177934	-1.233448	0.000111	40.879471	4443.934514	0.000779	0.000002	0.000910	1.9	0.9	3.3
147	-1.183166	-1.235931	0.000106	41.879471	4373.260661	0.001460	0.000002	0.001531	2.1	1.3	3.9
148	-1.166133	-1.222476	0.000113	41.232952	4418.693118	0.001445	0.000002	0.001561	2.1	0.9	3.5
149	-1.174954	-1.231777	0.000114	42.232952	4348.813522	0.001625	0.000002	0.001662	1.9	1.1	3.5
150	-1.170004	-1.226167	0.000112	43.232952	4281.109744	0.001042	0.000002	0.001132	1.9	0.9	3.3
151	-1.161802	-1.216899	0.000110	44.232951	4215.481736	0.001406	0.000002	0.001513	1.9	1.1	3.5
152	-1.158412	-1.215591	0.000114	43.589526	4257.475365	0.001102	0.000002	0.001232	3.1	1.0	4.7
153	-1.157815	-1.214595	0.000114	44.589526	4192.564469	0.002041	0.000002	0.002052	2.1	0.9	3.5
154	-1.171369	-1.228416	0.000114	43.943007	4234.302180	0.001241	0.000002	0.001340	2.0	0.9	3.4
155	-1.162747	-1.219244	0.000113	44.943007	4170.090638	0.001200	0.000002	0.001279	1.9	0.9	3.3
156	-1.167060	-1.225396	0.000117	45.777586	4117.973317	0.001311	0.000002	0.001405	2.3	1.2	4.0
157	-1.166390	-1.221851	0.000111	46.777586	4057.216162	0.001636	0.000002	0.001695	2.0	1.1	3.6
158	-1.154469	-1.212922	0.000117	47.777586	3998.225778	0.000865	0.000002	0.001037	1.9	1.0	3.3
159	-1.151631	-1.208447	0.000114	48.777586	3940.926206	0.001557	0.000002	0.001547	1.9	0.9	3.3
160	-1.159784	-1.215520	0.000111	49.777586	3885.245779	0.001818	0.000002	0.001859	1.9	1.1	3.6
161	-1.181149	-1.237791	0.000113	50.777586	3831.116823	0.001464	0.000002	0.001546	2.1	0.9	3.7
162	-1.164249	-1.221577	0.000115	51.777586	3778.475384	0.000774	0.000002	0.000979	1.8	1.0	3.4
163	-1.182778	-1.239995	0.000114	52.777586	3727.260976	0.001332	0.000002	0.001484	2.1	1.0	3.6
164	-1.162695	-1.217984	0.000111	52.131067	3760.212019	0.000760	0.000002	0.000911	1.9	1.0	3.4
165	-1.146467	-1.204066	0.000115	52.481597	3742.274597	0.001226	0.000002	0.001293	2.6	1.2	4.4
166	-1.169628	-1.227037	0.000115	52.551318	3738.727224	0.002556	0.000002	0.002607	2.1	1.1	3.8
167	-1.164850	-1.220440	0.000111	53.551318	3688.577511	0.001247	0.000002	0.001390	1.9	0.9	3.3
168	-1.144262	-1.200685	0.000113	54.551318	3639.755364	0.001124	0.000002	0.001288	1.8	1.0	3.3
169	-1.176972	-1.234475	0.000115	53.904799	3671.170853	0.001937	0.000002	0.002016	1.8	1.0	3.4
170	-1.184004	-1.237977	0.000108	53.258280	3703.133371	0.000879	0.000002	0.001008	2.3	1.2	4.3
171	-1.183121	-1.239358	0.000112	54.258279	3653.927757	0.000751	0.000002	0.000903	1.9	1.0	3.4
172	-1.160927	-1.215824	0.000110	53.611760	3685.589431	0.001487	0.000002	0.001563	2.0	1.1	3.7
173	-1.165310	-1.220260	0.000110	52.967017	3717.715347	0.001582	0.000002	0.001632	1.9	1.0	3.3
174	-1.173838	-1.229003	0.000110	52.320498	3750.497086	0.001575	0.000002	0.001642	2.5	1.5	4.5
