1:ItNr	2:Metric	FS0:test:0	Time[ms]
177	-0.564130	0.270000	0.6
178	-0.555408	0.280000	0.6
179	-0.550300	0.290000	0.7
180	-0.546224	0.300000	0.6
181	-0.543360	0.310000	0.6
182	-0.540853	0.320000	0.6
183	-0.534965	0.330000	0.6
184	-0.529945	0.340000	0.5
185	-0.523556	0.350000	0.5
186	-0.514096	0.360000	0.5
187	-0.506839	0.370000	0.5
188	-0.506715	0.380000	0.5
189	-0.504626	0.390000	0.5
190	-0.498670	0.400000	0.5
191	-0.491822	0.410000	0.5
192	-0.485765	0.420000	0.5
193	-0.485592	0.430000	0.5
194	-0.482033	0.440000	0.5
195	-0.480742	0.450000	0.5
196	-0.477661	0.460000	0.5
197	-0.473075	0.470000	0.5
198	-0.470918	0.480000	0.5
199	-0.470273	0.490000	0.5
200	-0.468603	0.500000	0.5
201	-0.465555	0.510000	0.5
202	-0.462402	0.520000	0.5
203	-0.459752	0.530000	0.6
204	-0.456684	0.540000	0.5
205	-0.455514	0.550000	0.6
206	-0.451695	0.560000	0.6
207	-0.447244	0.570000	0.5
208	-0.437874	0.580000	0.5
209	-0.433872	0.590000	0.5
210	-0.430914	0.600000	0.5
211	-0.427746	0.610000	0.5
212	-0.425720	0.620000	0.5
213	-0.423881	0.630000	0.5
214	-0.427024	0.640000	0.5
215	-0.431341	0.650000	0.5
216	-0.433831	0.660000	0.5
217	-0.434105	0.670000	0.5
218	-0.436641	0.680000	0.5
219	-0.440960	0.690000	0.5
220	-0.441482	0.700000	0.5
221	-0.440583	0.710000	0.5
222	-0.439888	0.720000	0.5
223	-0.436147	0.730000	0.5
224	-0.430239	0.740000	0.5
225	-0.425698	0.750000	0.5
226	-0.421461	0.760000	0.5
227	-0.421771	0.770000	0.5
228	-0.422094	0.780000	0.5
229	-0.416728	0.790000	0.5
230	-0.413841	0.800000	0.5
231	-0.415215	0.810000	0.7
232	-0.418102	0.820000	0.5
233	-0.421441	0.830000	0.5
234	-0.425781	0.840000	0.5
235	-0.425399	0.850000	0.5
236	-0.425954	0.860000	0.5
237	-0.423733	0.870000	0.5
238	-0.422828	0.880000	0.5
239	-0.421712	0.890000	0.5
240	-0.422816	0.900000	0.5
241	-0.423188	0.910000	0.5
242	-0.424451	0.920000	0.5
243	-0.428012	0.930000	0.5
244	-0.430265	0.940000	0.5
245	-0.432783	0.950000	0.5
246	-0.433566	0.960000	0.5
247	-0.434035	0.970000	0.5
248	-0.435685	0.980000	0.5
249	-0.434612	0.990000	0.5
250	-0.432276	1.000000	0.5
251	-0.426548	1.010000	0.5
252	-0.422147	1.020000	0.5
253	-0.422024	1.030000	0.5
254	-0.424464	1.040000	0.5
255	-0.425942	1.050000	0.5
256	-0.422549	1.060000	0.5
257	-0.422367	1.070000	0.5
258	-0.422429	1.080000	0.5
259	-0.421963	1.090000	0.5
260	-0.420582	1.100000	0.5
261	-0.416223	1.110000	0.5
262	-0.414768	1.120000	0.5
263	-0.410744	1.130000	0.5
264	-0.409082	1.140000	0.6
265	-0.409235	1.150000	0.6
266	-0.408236	1.160000	0.6
267	-0.405902	1.170000	0.5
268	-0.403793	1.180000	0.5
269	-0.402908	1.190000	0.5
270	-0.400024	1.200000	0.5
271	-0.398471	1.210000	0.5
272	-0.396647	1.220000	0.5
273	-0.394732	1.230000	0.5
274	-0.396215	1.240000	0.5
275	-0.395107	1.250000	0.6
276	-0.397888	1.260000	0.5
277	-0.400943	1.270000	0.5
278	-0.404354	1.280000	0.5
279	-0.403984	1.290000	0.5
280	-0.409620	1.300000	0.6
281	-0.413430	1.310000	0.6
282	-0.415325	1.320000	0.6
283	-0.416692	1.330000	0.5
284	-0.417658	1.340000	0.5
285	-0.420493	1.350000	0.5
286	-0.421968	1.360000	0.5
287	-0.423542	1.370000	0.6
288	-0.422943	1.380000	0.6
289	-0.420127	1.390000	0.6
290	-0.419841	1.400000	0.6
291	-0.419319	1.410000	0.6
292	-0.418374	1.420000	0.6
293	-0.417018	1.430000	0.6
294	-0.416895	1.440000	0.6
295	-0.416244	1.450000	0.6
296	-0.418565	1.460000	0.6
297	-0.420948	1.470000	0.6
298	-0.421447	1.480000	0.6
299	-0.424672	1.490000	0.6
300	-0.426566	1.500000	0.6
