1:ItNr	2:Metric	FS0:test:0	Time[ms]
0	-0.478564	-1.500000	1.9
1	-0.476796	-1.490000	0.6
2	-0.474592	-1.480000	0.6
3	-0.472361	-1.470000	0.7
4	-0.471025	-1.460000	0.7
5	-0.468371	-1.450000	0.7
6	-0.466437	-1.440000	0.7
7	-0.463221	-1.430000	0.7
8	-0.460710	-1.420000	0.7
9	-0.457112	-1.410000	0.7
10	-0.454561	-1.400000	0.7
11	-0.451756	-1.390000	0.8
12	-0.449343	-1.380000	0.7
13	-0.446596	-1.370000	0.6
14	-0.443199	-1.360000	0.6
15	-0.439113	-1.350000	0.6
16	-0.438727	-1.340000	0.8
17	-0.435183	-1.330000	1.1
18	-0.431547	-1.320000	0.8
19	-0.428535	-1.310000	0.6
20	-0.427448	-1.300000	0.6
21	-0.424897	-1.290000	0.6
22	-0.422464	-1.280000	0.6
23	-0.421645	-1.270000	0.6
24	-0.419393	-1.260000	0.6
25	-0.417376	-1.250000	0.6
26	-0.415604	-1.240000	0.6
27	-0.412918	-1.230000	0.5
28	-0.410624	-1.220000	0.6
29	-0.407929	-1.210000	0.6
30	-0.404112	-1.200000	0.6
31	-0.399980	-1.190000	0.5
32	-0.395268	-1.180000	0.6
33	-0.393070	-1.170000	0.6
34	-0.390238	-1.160000	0.5
35	-0.388909	-1.150000	0.5
36	-0.386352	-1.140000	0.5
37	-0.384561	-1.130000	0.5
38	-0.385809	-1.120000	0.6
39	-0.386443	-1.110000	0.6
40	-0.384869	-1.100000	0.6
41	-0.384195	-1.090000	0.6
42	-0.383995	-1.080000	1.0
43	-0.384795	-1.070000	0.7
44	-0.385899	-1.060000	0.6
45	-0.387515	-1.050000	0.6
46	-0.389906	-1.040000	0.6
47	-0.390133	-1.030000	0.6
48	-0.391796	-1.020000	0.5
49	-0.392860	-1.010000	0.6
50	-0.393462	-1.000000	0.5
51	-0.396428	-0.990000	0.5
52	-0.399101	-0.980000	0.5
53	-0.400553	-0.970000	0.5
54	-0.400923	-0.960000	0.5
55	-0.400441	-0.950000	0.5
56	-0.402650	-0.940000	0.5
57	-0.406021	-0.930000	0.5
58	-0.408411	-0.920000	0.5
59	-0.412106	-0.910000	0.5
60	-0.415755	-0.900000	0.5
61	-0.418701	-0.890000	0.5
62	-0.422389	-0.880000	0.5
63	-0.426661	-0.870000	0.5
64	-0.431117	-0.860000	0.5
65	-0.435936	-0.850000	0.5
66	-0.439653	-0.840000	0.5
67	-0.442426	-0.830000	0.6
68	-0.447749	-0.820000	0.5
69	-0.451497	-0.810000	0.5
70	-0.454583	-0.800000	1.2
71	-0.458941	-0.790000	1.1
72	-0.462627	-0.780000	0.6
73	-0.467141	-0.770000	0.5
74	-0.472876	-0.760000	0.6
75	-0.475790	-0.750000	0.6
76	-0.478772	-0.740000	0.5
77	-0.482619	-0.730000	0.5
78	-0.485193	-0.720000	0.5
79	-0.487637	-0.710000	0.5
80	-0.489630	-0.700000	0.5
81	-0.492594	-0.690000	0.5
82	-0.494322	-0.680000	0.5
83	-0.496592	-0.670000	0.5
84	-0.499250	-0.660000	0.5
85	-0.502662	-0.650000	0.5
86	-0.506000	-0.640000	0.5
87	-0.509163	-0.630000	0.5
88	-0.512009	-0.620000	0.5
89	-0.514624	-0.610000	0.5
90	-0.518269	-0.600000	0.5
91	-0.522266	-0.590000	0.5
92	-0.525297	-0.580000	0.5
93	-0.530126	-0.570000	0.6
94	-0.534191	-0.560000	0.5
95	-0.538363	-0.550000	0.5
96	-0.541071	-0.540000	0.7
97	-0.545275	-0.530000	0.7
98	-0.547717	-0.520000	0.6
99	-0.551803	-0.510000	0.5
100	-0.555406	-0.500000	0.5
101	-0.559034	-0.490000	0.5
102	-0.564277	-0.480000	0.5
103	-0.568566	-0.470000	0.5
104	-0.572330	-0.460000	0.5
105	-0.576626	-0.450000	0.5
106	-0.581993	-0.440000	0.5
107	-0.587045	-0.430000	0.5
108	-0.591613	-0.420000	0.5
109	-0.597198	-0.410000	0.5
110	-0.602279	-0.400000	0.5
111	-0.606853	-0.390000	0.5
112	-0.612233	-0.380000	0.5
113	-0.616706	-0.370000	0.5
114	-0.621264	-0.360000	0.5
115	-0.625700	-0.350000	0.5
116	-0.631117	-0.340000	0.5
117	-0.635990	-0.330000	0.5
118	-0.642006	-0.320000	0.5
119	-0.647565	-0.310000	0.5
120	-0.652256	-0.300000	0.5
121	-0.656717	-0.290000	0.6
122	-0.660746	-0.280000	0.6
123	-0.665833	-0.270000	0.6
124	-0.670472	-0.260000	0.5
125	-0.676288	-0.250000	0.6
126	-0.683545	-0.240000	0.6
127	-0.690719	-0.230000	0.6
128	-0.698224	-0.220000	0.6
129	-0.705605	-0.210000	0.6
130	-0.714298	-0.200000	0.6
131	-0.722346	-0.190000	0.6
132	-0.730695	-0.180000	0.6
133	-0.739168	-0.170000	0.6
134	-0.747497	-0.160000	0.6
135	-0.756012	-0.150000	0.6
136	-0.763277	-0.140000	0.6
137	-0.771466	-0.130000	0.6
138	-0.780265	-0.120000	0.6
139	-0.787480	-0.110000	0.6
140	-0.794921	-0.100000	0.6
141	-0.801350	-0.090000	0.6
142	-0.808059	-0.080000	0.6
143	-0.814129	-0.070000	0.6
144	-0.820076	-0.060000	0.6
145	-0.825657	-0.050000	0.6
146	-0.831114	-0.040000	0.6
147	-0.835568	-0.030000	0.6
148	-0.839756	-0.020000	0.6
149	-0.843266	-0.010000	0.6
150	-0.845881	0.000000	0.6
151	-0.847503	0.010000	0.6
152	-0.848129	0.020000	0.7
153	-0.847622	0.030000	0.6
154	-0.846989	0.040000	0.6
155	-0.844848	0.050000	0.6
156	-0.842382	0.060000	0.6
157	-0.838624	0.070000	0.6
158	-0.834667	0.080000	0.6
159	-0.830202	0.090000	0.6
160	-0.824592	0.100000	0.6
161	-0.818490	0.110000	0.6
162	-0.812183	0.120000	0.6
163	-0.804857	0.130000	0.6
164	-0.798296	0.140000	0.6
165	-0.790627	0.150000	0.6
166	-0.783114	0.160000	0.6
167	-0.775524	0.170000	0.6
168	-0.767107	0.180000	0.6
169	-0.758645	0.190000	0.6
170	-0.750308	0.200000	0.6
171	-0.741417	0.210000	0.7
172	-0.732423	0.220000	0.6
173	-0.723695	0.230000	0.6
174	-0.714666	0.240000	0.6
175	-0.705478	0.250000	0.6
176	-0.696271	0.260000	0.6
177	-0.687036	0.270000	0.6
178	-0.678271	0.280000	0.6
