1:ItNr	2:Metric	FS0:test:0	Time[ms]
0	-0.427799	-1.500000	1.9
1	-0.422331	-1.490000	0.7
2	-0.417406	-1.480000	0.6
3	-0.413805	-1.470000	0.6
4	-0.411211	-1.460000	0.6
5	-0.407348	-1.450000	0.6
6	-0.403503	-1.440000	0.6
7	-0.401119	-1.430000	0.6
8	-0.399598	-1.420000	0.6
9	-0.397912	-1.410000	0.6
10	-0.396187	-1.400000	0.7
11	-0.395909	-1.390000	0.6
12	-0.398009	-1.380000	0.6
13	-0.400176	-1.370000	0.5
14	-0.399532	-1.360000	0.6
15	-0.400655	-1.350000	0.5
16	-0.401487	-1.340000	0.6
17	-0.401002	-1.330000	0.6
18	-0.401560	-1.320000	0.5
19	-0.401477	-1.310000	0.6
20	-0.403381	-1.300000	0.6
21	-0.403744	-1.290000	0.6
22	-0.406439	-1.280000	0.6
23	-0.407836	-1.270000	0.6
24	-0.409073	-1.260000	0.6
25	-0.411899	-1.250000	0.6
26	-0.412181	-1.240000	0.6
27	-0.413589	-1.230000	0.6
28	-0.414972	-1.220000	0.6
29	-0.416734	-1.210000	0.6
30	-0.417159	-1.200000	0.6
31	-0.417407	-1.190000	0.6
32	-0.415740	-1.180000	0.6
33	-0.413069	-1.170000	0.6
34	-0.411160	-1.160000	0.6
35	-0.406792	-1.150000	0.6
36	-0.402445	-1.140000	0.6
37	-0.396610	-1.130000	0.6
38	-0.391787	-1.120000	0.6
39	-0.388303	-1.110000	0.6
40	-0.384618	-1.100000	0.6
41	-0.383663	-1.090000	0.6
42	-0.381375	-1.080000	0.6
43	-0.379308	-1.070000	0.6
44	-0.377372	-1.060000	0.6
45	-0.374659	-1.050000	0.6
46	-0.370910	-1.040000	0.6
47	-0.369031	-1.030000	0.5
48	-0.366662	-1.020000	0.6
49	-0.366803	-1.010000	0.7
50	-0.368139	-1.000000	0.8
51	-0.372582	-0.990000	0.6
52	-0.373108	-0.980000	0.6
53	-0.372518	-0.970000	0.6
54	-0.372482	-0.960000	0.6
55	-0.373620	-0.950000	0.6
56	-0.373826	-0.940000	0.5
57	-0.373309	-0.930000	0.6
58	-0.375077	-0.920000	0.6
59	-0.374831	-0.910000	0.5
60	-0.375718	-0.900000	0.6
61	-0.377729	-0.890000	0.6
62	-0.381537	-0.880000	0.5
63	-0.385127	-0.870000	0.5
64	-0.390170	-0.860000	0.5
65	-0.393786	-0.850000	0.5
66	-0.398328	-0.840000	0.5
67	-0.403795	-0.830000	0.5
68	-0.411683	-0.820000	0.5
69	-0.417799	-0.810000	0.5
70	-0.423250	-0.800000	0.5
71	-0.428790	-0.790000	0.5
72	-0.431830	-0.780000	0.5
73	-0.433998	-0.770000	0.5
74	-0.435073	-0.760000	0.5
75	-0.434296	-0.750000	0.5
76	-0.435620	-0.740000	0.5
77	-0.435172	-0.730000	0.6
78	-0.437796	-0.720000	0.7
79	-0.440667	-0.710000	0.6
80	-0.443388	-0.700000	0.5
81	-0.446393	-0.690000	0.6
82	-0.448964	-0.680000	0.5
83	-0.452920	-0.670000	0.6
84	-0.457434	-0.660000	0.5
85	-0.462272	-0.650000	0.6
86	-0.467122	-0.640000	0.5
87	-0.471648	-0.630000	0.5
88	-0.476432	-0.620000	0.5
89	-0.479625	-0.610000	0.5
90	-0.482615	-0.600000	0.5
91	-0.485498	-0.590000	0.5
92	-0.488511	-0.580000	0.5
93	-0.490597	-0.570000	0.5
94	-0.493297	-0.560000	0.5
95	-0.498168	-0.550000	0.5
96	-0.501150	-0.540000	0.5
97	-0.502298	-0.530000	0.5
98	-0.504987	-0.520000	0.5
99	-0.508871	-0.510000	0.6
100	-0.512859	-0.500000	0.5
101	-0.517347	-0.490000	0.6
102	-0.520822	-0.480000	0.6
103	-0.523607	-0.470000	0.5
104	-0.526286	-0.460000	0.6
105	-0.527240	-0.450000	0.6
106	-0.527722	-0.440000	0.8
107	-0.528783	-0.430000	0.6
108	-0.530186	-0.420000	0.6
109	-0.534405	-0.410000	0.6
110	-0.538297	-0.400000	0.6
111	-0.543474	-0.390000	0.6
112	-0.547616	-0.380000	0.5
113	-0.551027	-0.370000	0.5
114	-0.556840	-0.360000	0.5
115	-0.563829	-0.350000	0.5
116	-0.571409	-0.340000	0.6
117	-0.579370	-0.330000	0.5
118	-0.586094	-0.320000	0.5
119	-0.595778	-0.310000	0.5
