1:ItNr	2:Metric	FS0:test:0	Time[ms]
177	-0.862835	0.270000	0.6
178	-0.858782	0.280000	0.6
179	-0.855075	0.290000	0.6
180	-0.851550	0.300000	0.6
181	-0.847861	0.310000	0.6
182	-0.843961	0.320000	0.6
183	-0.840036	0.330000	0.6
184	-0.836369	0.340000	0.6
185	-0.831953	0.350000	0.6
186	-0.827712	0.360000	0.5
187	-0.823199	0.370000	0.6
188	-0.818495	0.380000	0.7
189	-0.813206	0.390000	0.7
190	-0.808795	0.400000	0.7
191	-0.804282	0.410000	0.6
192	-0.800054	0.420000	0.5
193	-0.795141	0.430000	0.6
194	-0.790160	0.440000	0.6
195	-0.785532	0.450000	0.6
196	-0.779808	0.460000	0.6
197	-0.774900	0.470000	0.6
198	-0.769268	0.480000	0.6
199	-0.764985	0.490000	0.6
200	-0.759894	0.500000	0.6
201	-0.755068	0.510000	0.6
202	-0.749723	0.520000	0.6
203	-0.743996	0.530000	0.6
204	-0.739701	0.540000	0.6
205	-0.734392	0.550000	0.5
206	-0.729720	0.560000	0.6
207	-0.726033	0.570000	0.6
208	-0.720879	0.580000	0.6
209	-0.717233	0.590000	0.6
210	-0.713689	0.600000	0.6
211	-0.709490	0.610000	0.6
212	-0.707876	0.620000	0.6
213	-0.705398	0.630000	0.6
214	-0.702139	0.640000	0.6
215	-0.698568	0.650000	0.6
216	-0.694991	0.660000	1.0
217	-0.692622	0.670000	0.7
218	-0.690869	0.680000	0.6
219	-0.688005	0.690000	0.6
220	-0.684371	0.700000	0.6
221	-0.681240	0.710000	0.6
222	-0.677032	0.720000	0.5
223	-0.674152	0.730000	0.6
224	-0.670516	0.740000	0.6
225	-0.666657	0.750000	0.6
226	-0.663965	0.760000	0.5
227	-0.660965	0.770000	0.5
228	-0.657482	0.780000	0.5
229	-0.654949	0.790000	0.5
230	-0.651286	0.800000	0.5
231	-0.648925	0.810000	0.5
232	-0.646689	0.820000	0.5
233	-0.644604	0.830000	0.6
234	-0.644262	0.840000	0.6
235	-0.641764	0.850000	0.6
236	-0.638979	0.860000	0.6
237	-0.636571	0.870000	0.5
238	-0.637461	0.880000	0.5
239	-0.637365	0.890000	0.5
240	-0.636107	0.900000	0.6
241	-0.634580	0.910000	0.7
242	-0.633281	0.920000	1.0
243	-0.632040	0.930000	0.7
244	-0.629291	0.940000	0.6
245	-0.627804	0.950000	0.6
246	-0.624842	0.960000	0.6
247	-0.623107	0.970000	0.7
248	-0.619900	0.980000	0.6
249	-0.617178	0.990000	0.5
250	-0.614066	1.000000	0.6
251	-0.609583	1.010000	0.6
252	-0.607708	1.020000	0.5
253	-0.604387	1.030000	0.5
254	-0.603039	1.040000	0.6
255	-0.602068	1.050000	0.6
256	-0.600394	1.060000	0.6
257	-0.598351	1.070000	0.6
258	-0.596834	1.080000	0.5
259	-0.596889	1.090000	0.6
260	-0.594464	1.100000	0.6
261	-0.594552	1.110000	0.6
262	-0.593180	1.120000	0.6
263	-0.595070	1.130000	0.5
264	-0.592366	1.140000	0.6
265	-0.593235	1.150000	0.6
266	-0.593114	1.160000	0.6
267	-0.591823	1.170000	0.6
268	-0.592296	1.180000	0.7
269	-0.593172	1.190000	0.7
270	-0.592874	1.200000	0.7
271	-0.594135	1.210000	0.6
272	-0.594943	1.220000	0.7
273	-0.594176	1.230000	0.6
274	-0.594196	1.240000	0.6
275	-0.593471	1.250000	0.6
276	-0.593384	1.260000	0.6
277	-0.592294	1.270000	0.6
278	-0.591520	1.280000	0.6
279	-0.590609	1.290000	0.6
280	-0.591196	1.300000	0.6
281	-0.590745	1.310000	0.6
282	-0.589872	1.320000	0.6
283	-0.590193	1.330000	0.6
284	-0.589830	1.340000	0.7
285	-0.587921	1.350000	0.6
286	-0.587432	1.360000	0.6
287	-0.588055	1.370000	0.6
288	-0.587516	1.380000	0.6
289	-0.585716	1.390000	0.6
290	-0.584990	1.400000	0.7
291	-0.586653	1.410000	0.7
292	-0.587650	1.420000	0.6
293	-0.587909	1.430000	0.8
294	-0.588315	1.440000	0.8
295	-0.589390	1.450000	0.7
296	-0.591609	1.460000	0.6
297	-0.593120	1.470000	0.7
298	-0.594671	1.480000	0.7
299	-0.597294	1.490000	0.7
300	-0.598474	1.500000	0.6
